WOT-DATA,2
france-F23_AMX_13F3AM_MapsTraining_Dummy_SPG_2,artillery
france-F24_Lorraine155_50, artillery
france-F25_Lorraine155_51, artillery
france-F27_FCM_36Pak40, destroyer premium
france-F28_105_leFH18B2, artillery premium
france-F28_105_leFH18B2_IGR, artillery premium
france-F30_RenaultFT_AC, destroyer
france-F32_Somua_Sau_40, destroyer
france-F33_S_35CA, destroyer
france-F33_S_35CA_IGR, destroyer
france-F34_ARL_V39, destroyer
france-F35_AMX_AC_Mle1946, destroyer
france-F36_AMX_AC_Mle1948, drum destroyer
france-F36_AMX_AC_Mle1948_IGR, drum destroyer
france-F37_AMX50_Foch, drum destroyer
france-F38_Bat_Chatillon155_58, Drum artillery
france-F42_AMR_35,light premium
france-F43_AMC_35_SH,drum medium premium
france-F44_Somua_S35, medium
france-F49_RenaultR35, light
france-F50_FCM36_20t, light
france-F52_RenaultUE57, destroyer
france-F62_ELC_AMX, light
france-F62_ELC_AMX_IGR, light
france-F64_AMX_50Fosh_B, Drum destroyer
france-F64_AMX_50Fosh_155, Drum destroyer premium
france-F65_FCM_50t, heavy premium
france-F66_AMX_Ob_Am105, artillery
france-F67_Bat_Chatillon155_55, artillery
france-F68_AMX_Chasseur_de_char_46, medium premium
france-F69_AMX13_57_100, drum light premium
france-F69_AMX13_57_100_GrandFinal, drum light premium
france-F70_SARL42, medium
france-F71_AMX_30_prototype, medium
france-F71_AMX_30_prototype_HW_bot,medium
france-F72_AMX_30,medium
france-F72_AMX_30_HW_bot, medium
france-F73_M4A1_Revalorise, medium premium
france-F73_M4A1_Revalorise_FL, medium premium
france-F73_M4A1_Revalorise_HW_bot,medium
france-F74_AMX_M4_1949, heavy premium
france-F74_AMX_M4_1949_FL, heavy premium
france-F74_AMX_M4_1949_HW_bot,heavy
france-F74_AMX_M4_1949_Liberte, heavy premium
france-F75_Char_de_25t, drum medium
france-F81_Char_de_65t, heavy
france-F82_AMX_M4_Mle1949_Ter,heavy
france-F82_AMX_M4_Mle1949_Ter_HW_bot, heavy
france-F83_AMX_M4_Mle1949_Bis,heavy
france-F83_AMX_M4_Mle1949_Bis_FL,heavy premium
france-F83_AMX_M4_Mle1949_Bis_HW_bot,heavy
france-F84_Somua_SM, drum heavy premium
france-F85_M4A1_FL10, drum medium premium
france-F87_Batignolles-Chatillon_12t, Drum light
france-F88_AMX_13_105, Drum light
france-F89_Canon_dassaut_de_105, destroyer premium
france-F97_ELC_EVEN_90, Drum light premium
france-F97_ELC_EVEN_90_FL,drum light premium
germany-Env_Artillery,artillery
germany-G00_Bomber_Hell,light
germany-G00_Bomber_SH,light premium
germany-G00_K_bomber__HW_21_AI,light
germany-G02_Hummel, artillery
germany-G03_PzV_Panther, medium
germany-G03_PzV_Panther_bootcamp,medium
germany-G03_PzV_Panther_IGR, medium 
germany-G03_PzV_Panther_training, medium premium
germany-G04_PzVI_Tiger_I, heavy
germany-G04_PzVI_Tiger_I_IGR, heavy
germany-G04_PzVI_Tiger_I_MapsTraining_Player_HT_2,heavy
germany-G04_PzVI_Tiger_IA, heavy
germany-G05_StuG_40_AusfG, destroyer
germany-G05_StuG_40_AusfG_IGR, destroyer
germany-G06_PzII, Drum light
germany-G06_PzII_bot, Drum light premium
germany-G07_Pz35t, drum light
germany-G08_Pz38t, light
germany-G08_Pz38t_bootcamp, light premium
germany-G09_Hetzer, destroyer
germany-G09_Hetzer_MapsTraining_Dummy_ATSPG_1,destroyer
germany-G10_PzIII_AusfJ, medium
germany-G10_PzIII_AusfJ_training, medium premium
germany-G100_Gtraktor_Krupp, medium premium
germany-G101_StuG_III, destroyer
germany-G102_Pz_III, light
germany-G102_Pz_III_bootcamp, light premium
germany-G103_RU_251, light
germany-G104_Stug_IV, destroyer premium
germany-G105_T-55_NVA_DDR, medium premium
germany-G106_PzKpfwPanther_AusfF, medium premium
germany-G107_PzKpfwIII_AusfK, medium premium
germany-G108_PzKpfwII_AusfD, drum light premium
germany-G109_Steyr_WT, destroyer premium
germany-G11_Bison_I, artillery
germany-G110_Typ_205, heavy
germany-G112_KanonenJagdPanzer, destroyer premium
germany-G112_KanonenJagdPanzer_105, destroyer premium
germany-G113_SP_I_C, light
germany-G114_Rheinmetall_Skorpian, destroyer premium
germany-G114_Rheinmetall_Skorpian_HELL,destroyer
germany-G114_Skorpian, destroyer premium
germany-G115_Typ_205_4_Jun, heavy premium
germany-G115_Typ_205B, heavy
germany-G116_Turan_III_prot, medium premium
germany-G117_Toldi_III, light premium
germany-G117_Toldi_III_bootcamp, light premium
germany-G118_VK4503, heavy premium
germany-G119_Panzer58, medium premium
germany-G119_Panzer58_BF, medium premium
germany-G119_Panzer58_FL, medium premium
germany-G119_Pz58_Mutz, medium premium
germany-G12_Ltraktor, drum light
germany-G12_Ltraktor_bot, drum light premium
germany-G120_M41_90, light premium
germany-G120_M41_90_GrandFinal, light premium
germany-G121_Grille_15_L63, destroyer
germany-G122_VK6501H, heavy premium
germany-G125_Spz_57_Rh, light
germany-G126_HWK_12, light
germany-G13_VK3001H, medium
germany-G134_PzKpfw_VII, heavy
germany-G136_Tiger_131, heavy premium
germany-G137_PzVI_Tiger_217, heavy premium
germany-G138_VK168_02, heavy premium
germany-G138_VK168_02_Mauerbrecher, heavy premium
germany-G139_MKA, light premium
germany-G140_HWK_30, light premium
germany-G141_VK7501K, heavy premium
germany-G142_M48RPz, medium premium
germany-G142_M48RPz_HW_bot,medium
germany-G143_E75_TS, heavy premium
germany-G144_Kpz_50t,medium premium
germany-G146_E100_Hell_Boss,heavy
germany-G147_Kunze_Panzer,medium premium
germany-G15_VK3601H, heavy
germany-G151_Pz_Sfl_IC,drum destroyer premium
germany-G154_Kpz_07_RH,medium premium
germany-G158_VK2801_105_SPXXI,light premium
germany-G16_PzVIB_Tiger_II, heavy
germany-G16_PzVIB_Tiger_II_F, heavy premium
germany-G16_PzVIB_Tiger_II_IGR, heavy
germany-G16_PzVIB_Tiger_II_training, heavy premium
germany-G160_Pz_Kpfw_35_R_mit_T_26_Turm,light premium
germany-G161_Pz_Kpfw_M15_38_t,light premium
germany-G17_JagdPzIV, destroyer
germany-G18_JagdPanther, destroyer
germany-G19_Wespe, artillery
germany-G20_Marder_II, destroyer
germany-G21_PanzerJager_I, destroyer
germany-G21_PanzerJager_I_bootcamp, destroyer premium
germany-G22_Sturmpanzer_II, artillery
germany-G23_Grille,artillery
germany-G24_VK3002DB, medium
germany-G24_VK3002DB_SH, medium premium
germany-G25_PzII_Luchs, drum light
germany-G25_PzII_Luchs_HELL,light
germany-G25_PzII_Luchs_HELL_HALL,light
germany-G26_VK1602, light
germany-G27_VK3001P, heavy
germany-G28_PzIII_IV, medium
germany-G32_PzV_PzIV, medium premium
germany-G32_PzV_PzIV_ausf_Alfa, medium premium
germany-G32_PzV_PzIV_ausf_Alfa_CN, medium premium
germany-G32_PzV_PzIV_CN, medium premium
germany-G33_H39_captured, light premium
germany-G34_S35_captured, medium premium
germany-G35_B-1bis_captured, heavy premium
germany-G36_PzII_J, drum light premium
germany-G37_Ferdinand,destroyer
germany-G37_Ferdinand_FL, destroyer premium
germany-G37_Ferdinand_IGR, destroyer
germany-G39_Marder_III, destroyer
germany-G40_Nashorn, destroyer
germany-G40_Nashorn_MapsTraining_Dummy_ATSPG_2,destroyer
germany-G41_DickerMax, destroyer premium
germany-G42_Maus, heavy
germany-G42_Maus_IGR, heavy
germany-G43_Sturer_Emil, destroyer
germany-G44_JagdTiger, destroyer
germany-G44_JagdTiger_FL,destroyer premium
germany-G44_JagdTigerH, destroyer premium
germany-G45_G_Tiger, artillery
germany-G46_T-25, medium premium
germany-G48_E-25, destroyer premium
germany-G48_E-25_IGR, destroyer premium
germany-G49_G_Panther, artillery
germany-G50_T-15, light premium
germany-G51_Lowe, heavy premium
germany-G51_Lowe_FL, heavy premium
germany-G52_Pz38_NA, light
germany-G53_PzI, Drum light
germany-G54_E-50, medium
germany-G54_E-50_FL,medium premium
germany-G54_E-50_Hall_minion, medium
germany-G55_E-75, heavy
germany-G56_E-100, heavy
germany-G57_PzVI_Tiger_P, heavy
germany-G57_PzVI_Tiger_P_HW_bot, heavy
germany-G58_VK4502P, heavy
germany-G58_VK4502P_HW_bot, heavy
germany-G58_VK4502P7, heavy premium
germany-G61_G_E, artillery
germany-G63_PzI_ausf_C, Drum light
germany-G64_Panther_II, medium
germany-G64_Panther_II_Hall_minion,medium
germany-G64_Panther_II_IGR,medium
germany-G65_JagdTiger_SdKfz_185, destroyer premium
germany-G65_JagdTiger_SdKfz_185_IGR, destroyer premium
germany-G66_VK2801, light
germany-G67_VK4502A, heavy
germany-G67_VK4502A_HW_bot, heavy
germany-G70_PzIV_Hydro, medium premium
germany-G71_JagdPantherII, destroyer
germany-G72_JagdPz_E100, destroyer
germany-G73_E50_Ausf_M, medium
germany-G73_E50_Ausf_M_Hall_minion, medium
germany-G76_Pz_Sfl_IVc, destroyer
germany-G77_PzIV_Schmalturm, medium premium
germany-G78_Panther_M10, medium premium
germany-G79_Pz_IV_AusfGH, medium premium
germany-G80_Pz_IV_AusfD, medium
germany-G80_Pz_IV_AusfD_bootcamp, medium premium
germany-G81_Pz_IV_AusfH, medium
germany-G81_Pz_IV_AusfH_GuP,medium premium
germany-G82_Pz_II_AusfG, Drum light
germany-G83_Pz_IV_AusfA, medium
germany-G85_Auf_Panther, light premium
germany-G85_Aufklarungspanzer_V, light premium
germany-G86_VK2001DB, medium
germany-G87_VK3002DB_V1, medium
germany-G88_Indien_Panzer, medium
germany-G88_Indien_Panzer_HW_bot, medium
germany-G89_Leopard1, medium
germany-G89_Leopard1_bob,medium premium
germany-G90_DW_II, heavy
germany-G90_DW_II_MapsTraining_Dummy_HT_1,heavy
germany-G91_Pro_Ag_A, medium
germany-G92_VK7201, heavy premium
germany-G93_GW_Mk_VIe, artillery
germany-G94_GW_Tiger_P, artillery
germany-G95_Pz_Sfl_IVb, artillery
germany-G96_VK3002M, medium
germany-G97_Waffentrager_IV, destroyer
germany-G97_Waffentrager_IV_HW_bot, destroyer
germany-G98_Waffentrager_E100, drum destroyer
germany-G98_Waffentrager_E100_P, drum destroyer premium
germany-G99_RhB_Waffentrager, destroyer
germany-G99_RhB_Waffentrager_HW_bot, destroyer
italy-It03_M15_42,medium
italy-It04_Fiat_3000,light
italy-It05_Carro_L6_40, drum light
italy-It06_M14_41,medium
italy-It07_P26_40,medium
italy-It08_Progetto_M40_mod_65, drum medium
italy-It08_Progetto_M40_mod_65_bob, drum medium premium
italy-It09_P43_ter,medium
italy-It09_P43_ter_HELL,medium
italy-It10_P43_bis,medium
italy-It10_P43_bis_HELL,medium
italy-It11_P43,medium
italy-It12_Prototipo_Standard_B, drum medium
italy-It13_Progetto_M35_mod_46, drum medium premium
italy-It14_P44_Pantera, drum medium
italy-It14_P44_Pantera_HELL, drum medium
italy-It15_Rinoceronte, drum heavy
italy-It16_Carro_d_assalto_P88,heavy
italy-It17_Progetto_CC55_mod_54, drum heavy
italy-It18_Progetto_C45_mod_71, drum heavy premium
italy-It19_Progetto_C50_mod_66, drum heavy
italy-It19_Progetto_C50_mod_66_hw21,heavy
italy-It20_Carro_Combattimento_45t, drum medium premium
japan-J01_NC27, light
japan-J01_NC27_bot, light premium
japan-J02_Te_Ke, light premium
japan-J03_Ha_Go, light
japan-J04_Ke_Ni, light
japan-J04_Ke_Ni_bootcamp, light premium
japan-J05_Ke_Ni_B, light premium
japan-J06_Ke_Ho, light
japan-J07_Chi_Ha, light
japan-J08_Chi_Nu, medium
japan-J09_Chi_He, medium
japan-J10_Chi_To, medium
japan-J11_Chi_Ri, drum medium
japan-J11_Chi_Ri_IGR, drum medium
japan-J12_Chi_Nu_Kai, medium premium
japan-J13_STA_1, medium
japan-J13_STA_1_IGR, medium
japan-J14_Type_61, medium
japan-J15_Chi_Ni, medium
japan-J16_ST_B1, medium
japan-J16_ST_B1_IGR, medium
japan-J18_STA_2_3, medium premium
japan-J19_Tiger_I_Jpn, heavy premium
japan-J20_Type_2605, heavy
japan-J21_Type_91, heavy
japan-J22_Type_95, heavy
japan-J22_Type_95_bootcamp, heavy premium
japan-J23_Mi_To, heavy
japan-J24_Mi_To_130_tons, heavy
japan-J25_Type_4, heavy
japan-J26_Type_89, medium
japan-J27_O_I_120, heavy
japan-J28_O_I_100, heavy
japan-J29_Nameless, heavy premium
japan-J30_Edelweiss, medium premium
poland-Pl01_TKS_20mm, drum light premium
poland-Pl03_PzV_Poland, medium premium
poland-Pl05_50TP_Tyszkiewicza,heavy
poland-Pl05_50TP_Tyszkiewicza_HELL,heavy
poland-Pl06_10TP, light
poland-Pl07_14TP, light
poland-Pl08_50TP_prototyp, heavy premium
poland-Pl09_7TP, light
poland-Pl10_40TP_Habicha, medium
poland-Pl10_40TP_Habicha_HELL, medium
poland-Pl11_45TP_Habicha, heavy
poland-Pl11_45TP_Habicha_HELL, heavy
poland-Pl12_25TP_KSUST_II, medium
poland-Pl13_53TP_Markowskiego, heavy
poland-Pl13_53TP_Markowskiego_HELL, heavy
poland-Pl14_4TP, light
poland-Pl15_60TP_Lewandowskiego, heavy
poland-Pl16_T34_85_Rudy,medium premium
poland-Pl17_DS_PZlnz,medium
poland-Pl18_BUGI,medium
poland-Pl18_BUGI_HW_bot,medium
poland-Pl19_CS_52_LIS,medium premium
poland-Pl20_CS_44,medium
poland-Pl20_CS_44_HW_bot,medium
poland-Pl21_CS_63,medium
poland-Pl22_CS_59,medium
poland-Pl23_CS_53,medium
poland-Pl23_CS_53_HW_bot,medium
sweden-S01_Strv_74_A2, drum medium premium
sweden-S02_Strv_M42, medium
sweden-S03_Strv_M38, light
sweden-S04_Lago_I, medium
sweden-S05_Strv_M21_29, drum light
sweden-S06_Ikv_90_Typ_B_Bofors,destroyer
sweden-S07_Strv_74, medium
sweden-S08_Ikv_65_Alt_2, destroyer
sweden-S09_L_120_TD, destroyer
sweden-S10_Strv_103_0_Series_FL,destroyer premium
sweden-S10_Strv_103_0_Series,destroyer
sweden-S11_Strv_103B, destroyer
sweden-S12_Strv_M40, light
sweden-S13_Leo, medium
sweden-S13_Leo_HELL, medium
sweden-S14_Ikv_103, destroyer
sweden-S15_L_60, drum light premium
sweden-S16_Kranvagn, drum heavy
sweden-S16_Kranvagn_bob,drum heavy premium
sweden-S17_EMIL_1952_E2, drum heavy
sweden-S18_EMIL_1951_E1, drum heavy
sweden-S19_Sav_M43,destroyer
sweden-S20_Ikv_72, destroyer
sweden-S21_UDES_03, destroyer
sweden-S22_Strv_S1, destroyer premium
sweden-S22_Strv_S1_FL,destroyer premium
sweden-S23_Strv_81, medium premium
sweden-S23_Strv_81_sabaton, medium premium
sweden-S25_EMIL_51, drum heavy premium
sweden-S26_Lansen_C, medium premium
sweden-S27_UDES_16, medium
sweden-S27_UDES_16_HELL, medium
sweden-S28_UDES_15_16, medium
sweden-S29_UDES_14_5, medium
sweden-S29_UDES_14_5_HELL, medium
sweden-S30_UDES_03_Alt_3,medium premium
sweden-S31_Strv_K,heavy premium
sweden-S32_Bofors_Tornvagn,heavy premium
uk-GB01_Medium_Mark_I,medium
uk-GB01_Medium_Mark_I_bot, medium premium
uk-GB03_Cruiser_Mk_I, drum light
uk-GB04_Valentine, light
uk-GB05_Vickers_Medium_Mk_II,medium
uk-GB05_Vickers_Medium_Mk_II_bot, medium premium
uk-GB06_Vickers_Medium_Mk_III,medium
uk-GB07_Matilda, medium
uk-GB08_Churchill_I, heavy
uk-GB08_Churchill_I_IGR, heavy
uk-GB09_Churchill_VII, heavy
uk-GB10_Black_Prince, heavy
uk-GB100_Manticore, light
uk-GB101_FV1066_Senlac, light premium
uk-GB102_LHMTV, light
uk-GB103_GSOR3301_AVR_FS, light
uk-GB104_GSR_3301_Setter, light
uk-GB105_Black_Prince_2019, heavy premium
uk-GB106_Cobra,medium
uk-GB107_Cavalier,medium
uk-GB107_Cavalier_SH,medium premium
uk-GB108_A46,light premium
uk-GB109_GSOR_1008,drum destroyer premium
uk-GB11_Caernarvon, heavy
uk-GB11_Caernarvon_IGR, heavy
uk-GB111_Charlemagne,heavy premium
uk-GB112_Caliban, drum heavy premium
uk-GB113_Matilda_LVT,medium premium
uk-GB12_Conqueror_FL,heavy premium
uk-GB12_Conqueror, heavy
uk-GB13_FV215b, heavy premium
uk-GB13_FV215b_IGR, heavy premium 
uk-GB14_M2, light
uk-GB15_Stuart_I, light
uk-GB17_Grant_I, medium
uk-GB19_Sherman_Firefly, medium
uk-GB19_Sherman_Firefly_MapsTraining_Dummy_MT_2,medium
uk-GB20_Crusader, light
uk-GB21_Cromwell, medium
uk-GB21_Cromwell_IGR, medium
uk-GB22_Comet, medium
uk-GB23_Centurion, medium
uk-GB23_Centurion_IGR, medium
uk-GB24_Centurion_Mk3, medium
uk-GB24_Centurion_Mk3_Halloween_event, medium
uk-GB25_Loyd_Gun_Carriage, artillery
uk-GB26_Birch_Gun, artillery
uk-GB27_Sexton, artillery
uk-GB28_Bishop, artillery
uk-GB29_Crusader_5inch, artillery
uk-GB30_FV3805, artillery
uk-GB31_Conqueror_Gun, artillery
uk-GB32_Tortoise,destroyer
uk-GB33_Sentinel_AC_I, medium premium
uk-GB35_Sentinel_AC_IV, medium premium
uk-GB37_Valliant,medium premium
uk-GB39_Universal_CarrierQF2,destroyer
uk-GB40_Gun_Carrier_Churchill, destroyer
uk-GB41_Challenger, destroyer
uk-GB42_Valentine_AT, destroyer
uk-GB44_Archer, destroyer
uk-GB45_Achilles_IIC, destroyer
uk-GB48_FV215b_183, destroyer premium
uk-GB50_Sherman_III, medium
uk-GB51_Excelsior, heavy premium
uk-GB52_A45,heavy premium
uk-GB57_Alecto,destroyer
uk-GB58_Cruiser_Mk_III, drum light
uk-GB59_Cruiser_Mk_IV, drum light
uk-GB60_Covenanter, light
uk-GB63_TOG_II, heavy premium
uk-GB68_Matilda_Black_Prince, medium premium
uk-GB69_Cruiser_Mk_II, drum light
uk-GB70_FV4202_105, medium
uk-GB70_N_FV4202_105, medium premium
uk-GB70_N_FV4202_105_FL, medium premium
uk-GB71_AT_15A,destroyer premium
uk-GB72_AT15,destroyer
uk-GB72_AT15_IGR, destroyer
uk-GB73_AT2, destroyer
uk-GB74_AT8, destroyer
uk-GB75_AT7, destroyer
uk-GB76_Mk_VIC, drum light
uk-GB77_FV304, artillery
uk-GB77_FV304_IGR, artillery
uk-GB78_Sexton_I, artillery premium
uk-GB79_FV206, artillery
uk-GB80_Charioteer, destroyer
uk-GB81_FV4004, destroyer
uk-GB81_FV4004_HELL, destroyer
uk-GB83_FV4005, destroyer
uk-GB83_FV4005_HELL, destroyer
uk-GB84_Chieftain_Mk6, heavy premium
uk-GB85_Cromwell_Berlin, medium premium
uk-GB86_Centurion_Action_X, medium
uk-GB87_Chieftain_T95_turret, medium premium
uk-GB88_T95_Chieftain_turret, heavy premium
uk-GB91_Super_Conqueror, heavy
uk-GB92_FV217, destroyer
uk-GB93_Caernarvon_AX, heavy premium
uk-GB94_Centurion_Mk5-1_RAAC, medium premium
uk-GB95_Ekins_Firefly_M4A4, medium premium
uk-GB96_Excalibur, destroyer premium
uk-GB97_Chimera, medium premium
uk-GB98_T95_FV4201_Chieftain, heavy premium
uk-GB99_Turtle_Mk1,destroyer premium
usa-A01_T1_Cunningham, drum light
usa-A01_T1_Cunningham_bot, drum light premium
usa-A02_M2_lt, drum light
usa-A03_M3_Stuart, light
usa-A03_M3_Stuart_bootcamp, drum light premium
usa-A04_M3_Grant, medium
usa-A05_M4_Sherman, medium
usa-A05_M4_Sherman_IGR, medium
usa-A06_M4A3E8_Sherman, medium
usa-A06_M4A3E8_Sherman_training, medium premium
usa-A07_T20, medium
usa-A08_T23, Drum medium
usa-A09_T1_hvy, heavy
usa-A10_M6, heavy
usa-A100_T49, light
usa-A100_T49_Halloween_event, light
usa-A101_M56, destroyer premium
usa-A102_T28_concept, destroyer premium
usa-A103_T71E1, Drum light
usa-A103_T71E1_IGR, Drum light
usa-A104_M4A3E8A, medium premium
usa-A106_M48A2_120, medium premium
usa-A107_T1_HMC, artillery
usa-A108_T18_HMC, artillery
usa-A109_T56_GMC, destroyer
usa-A11_T29, heavy
usa-A11_T29_IGR, heavy
usa-A111_T25_Pilot, medium premium
usa-A112_T71E2, light premium
usa-A112_T71E2R, light
usa-A115_Chrysler_K, heavy premium
usa-A115_Chrysler_K_GF, heavy premium
usa-A116_XM551, light
usa-A117_T26E5, heavy premium
usa-A117_T26E5_FL, heavy premium
usa-A117_T26E5_Patriot, heavy premium
usa-A118_M4_Thunderbolt, medium premium
usa-A12_T32, heavy
usa-A12_T32_FL,heavy premium
usa-A12_T32_HW_bot,heavy premium
usa-A120_M48A5, medium
usa-A120_M48A5_IGR,medium
usa-A121_M26_Cologne, medium premium
usa-A122_TS-5,destroyer premium
usa-A123_T78,destroyer premium
usa-A124_T54E2,heavy premium
usa-A125_AEP_1,heavy premium
usa-A126_PzVI_Tiger_II_capt,heavy premium
usa-A127_TL_1_LPC,medium premium
usa-A128_concept_1b,heavy premium
usa-A129_T6_medium,medium
usa-A129_T6_medium_MapsTraining_Dummy_MT_1,medium
usa-A13_T34_hvy, heavy premium
usa-A13_T34_hvy_FL, heavy premium
usa-A13_T34_hvy_BF, heavy premium
usa-A13_T34_hvy_IGR, heavy premium
usa-A130_Super_Hellcat,destroyer premium
usa-A132_T77, drum heavy premium
usa-A134_M24E2_SuperChaffee,light
usa-A136_T42,medium premium
usa-A14_T30, destroyer
usa-A14_T30_FL,destroyer premium
usa-A14_T30_HELL,destroyer
usa-A140_ASTRON_REX_105mm, drum medium premium
usa-A141_M_IV_Y,heavy premium
usa-A148_Convertible_Medium_Tank_T3, drum medium premium
usa-A15_T57, drum artillery
usa-A16_M7_Priest, artillery
usa-A17_M37, artillery
usa-A18_M41, artillery
usa-A19_T2_lt, Drum light premium
usa-A21_T14, heavy premium
usa-A21_T14_MapsTraining_Player_HT_1,heavy
usa-A22_M5_Stuart, drum light
usa-A22_M5_Stuart_bootcamp, light premium
usa-A23_M7_med, light
usa-A24_T2_med, drum medium
usa-A24_T2_med_bot, medium premium
usa-A25_M2_med, medium
usa-A25_M2_med_bootcamp, medium premium
usa-A26_T18, drum destroyer
usa-A27_T82, artillery
usa-A29_T40, destroyer
usa-A30_M10_Wolverine, destroyer
usa-A31_M36_Slagger, destroyer
usa-A32_M12, artillery
usa-A33_MTLS-1G14, drum light premium
usa-A34_M24_Chaffee, light
usa-A35_Pershing, medium
usa-A35_Pershing_HELL, medium
usa-A35_Pershing_IGR, medium
usa-A36_Sherman_Jumbo, medium
usa-A36_Sherman_Jumbo_bootcamp, medium premium
usa-A36_Sherman_Jumbo_HELL, medium
usa-A36_Sherman_Jumbo_IGR, medium
usa-A37_M40M43, artillery
usa-A38_T92, artillery
usa-A39_T28, destroyer
usa-A40_T95, destroyer
usa-A41_M18_Hellcat, destroyer
usa-A43_M22_Locust, light premium
usa-A44_M4A2E4, medium premium
usa-A45_M6A2E1, heavy premium
usa-A46_T3, destroyer
usa-A57_M8A1, destroyer
usa-A58_T67, destroyer
usa-A58_T67_IGR, destroyer
usa-A62_Ram-II, medium premium
usa-A63_M46_Patton, medium
