WOT-DATA,2
czech-Cz03_LT_vz35,Drum0
czech-Cz04_T50_51,Drum1
czech-Cz05_T34_100,Drum0
czech-Cz06_Kolohousenka,Drum0
czech-Cz07_TVP_46,Drum0
czech-Cz08_T_25,Drum1
czech-Cz09_T_24,Drum0
czech-Cz10_LT_vz38,Drum1
czech-Cz11_V_8_H,Drum0
czech-Cz13_T_27,Drum1
#
# France
#
france-F01_RenaultFT,Drum1
france-F01_RenaultFT_bot,Drum0
france-F02_D1,Drum1
france-F03_D2,Drum0
france-F04_B1,Drum0
france-F04_B1_bootcamp,Drum0
france-F05_BDR_G1B,Drum0
france-F06_ARL_44,Drum0
france-F07_AMX_M4_1945,Drum0
france-F08_AMX_50_100,Drum1
france-F08_AMX_50_100_IGR,Drum1
france-F09_AMX_50_120,Drum1
france-F10_AMX_50B,Drum1
france-F10_AMX_50B_fallout,Drum1
france-F100_Panhard_EBR_90,Drum0
france-F106_Panhard_EBR_75_Mle1954,Drum1
france-F107_Hotchkiss_EBR,Drum0
france-F108_Panhard_EBR_105,Drum0
france-F109_AMD_Panhard_178B,Drum0
france-F11_Renault_G1R,Drum0
france-F110_Lynx_6x6,Drum0
france-F111_AM39_Gendron_Somua,Drum0
france-F112_M10_RBFM,Drum0
france-F113_Bretagne_Panther,Drum0
france-F12_Hotchkiss_H35,Drum0
france-F13_AMX38,Drum0
france-F14_AMX40,Drum0
france-F15_AMX_12t,Drum1
france-F16_AMX_13_75,Drum1
france-F17_AMX_13_90,Drum1
france-F17_AMX_13_90_IGR,Drum1
france-F18_Bat_Chatillon25t,Drum1
france-F18_Bat_Chatillon25t_IGR,Drum1
france-F19_Lorraine40t,Drum1
france-F20_RenaultBS,Drum0
france-F21_Lorraine39_L_AM,Drum0
france-F22_AMX_105AM,Drum0
france-F23_AMX_13F3AM,Drum0
france-F24_Lorraine155_50,Drum0
france-F25_Lorraine155_51,Drum0
france-F27_FCM_36Pak40,Drum0
france-F28_105_leFH18B2,Drum0
france-F28_105_leFH18B2_IGR,Drum0
france-F30_RenaultFT_AC,Drum1
france-F32_Somua_Sau_40,Drum0
france-F33_S_35CA,Drum0
france-F33_S_35CA_IGR,Drum0
france-F34_ARL_V39,Drum0
france-F35_AMX_AC_Mle1946,Drum0
france-F36_AMX_AC_Mle1948,Drum1
france-F36_AMX_AC_Mle1948_IGR,Drum0
france-F37_AMX50_Foch,Drum1
france-F38_Bat_Chatillon155_58,Drum1
france-F44_Somua_S35,Drum0
france-F49_RenaultR35,Drum0
france-F50_FCM36_20t,Drum0
france-F52_RenaultUE57,Drum0
france-F62_ELC_AMX,Drum0
france-F62_ELC_AMX_IGR,Drum0
france-F64_AMX_50Fosh_155,Drum1
france-F64_AMX_50Fosh_B,Drum1
france-F65_FCM_50t,Drum0
france-F66_AMX_Ob_Am105,Drum0
france-F67_Bat_Chatillon155_55,Drum0
france-F68_AMX_Chasseur_de_char_46,Drum0
france-F69_AMX13_57_100,Drum1
france-F69_AMX13_57_100_GrandFinal,Drum1
france-F70_SARL42,Drum0
france-F71_AMX_30_prototype,Drum0
france-F72_AMX_30,Drum0
france-F73_M4A1_Revalorise,Drum0
france-F73_M4A1_Revalorise_FL,Drum0
france-F74_AMX_M4_1949,Drum0
france-F74_AMX_M4_1949_FL,Drum0
france-F74_AMX_M4_1949_Liberte,Drum0
france-F75_Char_de_25t,Drum1
france-F81_Char_de_65t,Drum0
france-F82_AMX_M4_Mle1949_Ter,Drum0
france-F83_AMX_M4_Mle1949_Bis,Drum0
france-F84_Somua_SM,Drum1
france-F85_M4A1_FL10,Drum1
france-F87_Batignolles-Chatillon_12t,Drum1
france-F88_AMX_13_105,Drum1
france-F89_Canon_dassaut_de_105,Drum0
france-F97_ELC_EVEN_90,Drum1
#
# Germany
#
germany-Env_Artillery,Drum0
germany-G02_Hummel,Drum0
germany-G03_PzV_Panther,Drum0
germany-G03_PzV_Panther_bootcamp,Drum0
germany-G03_PzV_Panther_IGR,Drum0
germany-G03_PzV_Panther_training,Drum0
germany-G04_PzVI_Tiger_I,Drum0
germany-G04_PzVI_Tiger_I_IGR,Drum0
germany-G04_PzVI_Tiger_IA,Drum0
germany-G05_StuG_40_AusfG,Drum0
germany-G05_StuG_40_AusfG_IGR,Drum0
germany-G06_PzII,Drum1
germany-G06_PzII_bot,Drum1
germany-G07_Pz35t,Drum1
germany-G08_Pz38t,Drum1
germany-G08_Pz38t_bootcamp,Drum0
germany-G09_Hetzer,Drum0
germany-G10_PzIII_AusfJ,Drum1
germany-G10_PzIII_AusfJ_training,Drum0
germany-G100_Gtraktor_Krupp,Drum0
germany-G101_StuG_III,Drum0
germany-G102_Pz_III,Drum1
germany-G102_Pz_III_bootcamp,Drum0
germany-G103_RU_251,Drum0
germany-G104_Stug_IV,Drum0
germany-G105_T-55_NVA_DDR,Drum0
germany-G106_PzKpfwPanther_AusfF,Drum0
germany-G107_PzKpfwIII_AusfK,Drum0
germany-G108_PzKpfwII_AusfD,Drum1
germany-G109_Steyr_WT,Drum0
germany-G11_Bison_I,Drum0
germany-G110_Typ_205,Drum0
germany-G112_KanonenJagdPanzer,Drum0
germany-G112_KanonenJagdPanzer_105,Drum0
germany-G113_SP_I_C,Drum0
germany-G114_Rheinmetall_Skorpian,Drum0
germany-G114_Skorpian,Drum0
germany-G115_Typ_205_4_Jun,Drum0
germany-G115_Typ_205B,Drum0
germany-G116_Turan_III_prot,Drum0
germany-G117_Toldi_III,Drum0
germany-G117_Toldi_III_bootcamp,Drum0
germany-G118_VK4503,Drum0
germany-G119_Panzer58,Drum0
germany-G119_Panzer58_BF,Drum0
germany-G119_Panzer58_FL,Drum0
germany-G119_Pz58_Mutz,Drum0
germany-G12_Ltraktor,Drum1
germany-G12_Ltraktor_bot,Drum0
germany-G120_M41_90,Drum0
germany-G120_M41_90_GrandFinal,Drum0
germany-G121_Grille_15_L63,Drum0
germany-G122_VK6501H,Drum0
germany-G125_Spz_57_Rh,Drum0
germany-G126_HWK_12,Drum0
germany-G13_VK3001H,Drum0
germany-G134_PzKpfw_VII,Drum0
germany-G136_Tiger_131,Drum0
germany-G137_PzVI_Tiger_217,Drum0
germany-G138_VK168_02,Drum0
germany-G138_VK168_02_Mauerbrecher,Drum0
germany-G139_MKA,Drum0
germany-G140_HWK_30,Drum0
germany-G141_VK7501K,Drum0
germany-G15_VK3601H,Drum0
germany-G16_PzVIB_Tiger_II,Drum0
germany-G16_PzVIB_Tiger_II_F,Drum0
germany-G16_PzVIB_Tiger_II_IGR,Drum0
germany-G16_PzVIB_Tiger_II_training,Drum0
germany-G17_JagdPzIV,Drum0
germany-G18_JagdPanther,Drum0
germany-G19_Wespe,Drum0
germany-G20_Marder_II,Drum0
germany-G21_PanzerJager_I,Drum0
germany-G21_PanzerJager_I_bootcamp,Drum0
germany-G22_Sturmpanzer_II,Drum0
germany-G23_Grille,Drum0
germany-G24_VK3002DB,Drum0
germany-G25_PzII_Luchs,Drum1
germany-G26_VK1602,Drum1
germany-G27_VK3001P,Drum0
germany-G28_PzIII_IV,Drum0
germany-G32_PzV_PzIV,Drum0
germany-G32_PzV_PzIV_ausf_Alfa,Drum0
germany-G32_PzV_PzIV_ausf_Alfa_CN,Drum0
germany-G32_PzV_PzIV_CN,Drum0
germany-G33_H39_captured,Drum0
germany-G34_S35_captured,Drum0
germany-G35_B-1bis_captured,Drum0
germany-G36_PzII_J,Drum1
germany-G37_Ferdinand,Drum0
germany-G37_Ferdinand_IGR,Drum0
germany-G39_Marder_III,Drum0
germany-G40_Nashorn,Drum0
germany-G41_DickerMax,Drum0
germany-G42_Maus,Drum0
germany-G42_Maus_IGR,Drum0
germany-G43_Sturer_Emil,Drum0
germany-G44_JagdTiger,Drum0
germany-G44_JagdTigerH,Drum0
germany-G45_G_Tiger,Drum0
germany-G46_T-25,Drum0
germany-G48_E-25,Drum0
germany-G48_E-25_IGR,Drum0
germany-G49_G_Panther,Drum0
germany-G50_T-15,Drum0
germany-G51_Lowe,Drum0
germany-G51_Lowe_FL,Drum0
germany-G52_Pz38_NA,Drum1
germany-G53_PzI,Drum1
germany-G54_E-50,Drum0
germany-G55_E-75,Drum0
germany-G56_E-100,Drum0
germany-G57_PzVI_Tiger_P,Drum0
germany-G58_VK4502P,Drum0
germany-G58_VK4502P7,Drum0
germany-G61_G_E,Drum0
germany-G63_PzI_ausf_C,Drum1
germany-G64_Panther_II,Drum0
germany-G64_Panther_II_IGR,Drum0
germany-G65_JagdTiger_SdKfz_185,Drum0
germany-G65_JagdTiger_SdKfz_185_IGR,Drum0
germany-G66_VK2801,Drum0
germany-G67_VK4502A,Drum0
germany-G70_PzIV_Hydro,Drum0
germany-G71_JagdPantherII,Drum0
germany-G72_JagdPz_E100,Drum0
germany-G73_E50_Ausf_M,Drum0
germany-G76_Pz_Sfl_IVc,Drum0
germany-G77_PzIV_Schmalturm,Drum0
germany-G78_Panther_M10,Drum0
germany-G79_Pz_IV_AusfGH,Drum0
germany-G80_Pz_IV_AusfD,Drum0
germany-G80_Pz_IV_AusfD_bootcamp,Drum0
germany-G81_Pz_IV_AusfH,Drum0
germany-G82_Pz_II_AusfG,Drum1
germany-G83_Pz_IV_AusfA,Drum0
germany-G85_Auf_Panther,Drum0
germany-G85_Aufklarungspanzer_V,Drum0
germany-G86_VK2001DB,Drum0
germany-G87_VK3002DB_V1,Drum0
germany-G88_Indien_Panzer,Drum0
germany-G89_Leopard1,Drum0
germany-G90_DW_II,Drum0
germany-G91_Pro_Ag_A,Drum0
germany-G92_VK7201,Drum0
germany-G93_GW_Mk_VIe,Drum0
germany-G94_GW_Tiger_P,Drum0
germany-G95_Pz_Sfl_IVb,Drum0
germany-G96_VK3002M,Drum0
germany-G97_Waffentrager_IV,Drum0
germany-G98_Waffentrager_E100,Drum1
germany-G98_Waffentrager_E100_P,Drum1
germany-G99_RhB_Waffentrager,Drum0
#
# Italy
#
italy-It03_M15_42,Drum0
italy-It04_Fiat_3000,Drum0
italy-It05_Carro_L6_40,Drum1
italy-It06_M14_41,Drum0
italy-It07_P26_40,Drum0
italy-It08_Progetto_M40_mod_65,Drum1
italy-It09_P43_ter,Drum0
italy-It10_P43_bis,Drum0
italy-It11_P43,Drum0
italy-It12_Prototipo_Standard_B,Drum1
italy-It13_Progetto_M35_mod_46,Drum1
italy-It14_P44_Pantera,Drum1
#
# Japan
#
japan-J01_NC27,Drum1
japan-J01_NC27_bot,Drum0
japan-J02_Te_Ke,Drum0
japan-J03_Ha_Go,Drum0
japan-J04_Ke_Ni,Drum0
japan-J04_Ke_Ni_bootcamp,Drum0
japan-J05_Ke_Ni_B,Drum0
japan-J06_Ke_Ho,Drum0
japan-J07_Chi_Ha,Drum0
japan-J08_Chi_Nu,Drum0
japan-J09_Chi_He,Drum0
japan-J10_Chi_To,Drum0
japan-J11_Chi_Ri,Drum1
japan-J11_Chi_Ri_IGR,Drum1
japan-J12_Chi_Nu_Kai,Drum0
japan-J13_STA_1,Drum0
japan-J13_STA_1_IGR,Drum0
japan-J14_Type_61,Drum0
japan-J15_Chi_Ni,Drum1
japan-J16_ST_B1,Drum0
japan-J16_ST_B1_IGR,Drum0
japan-J18_STA_2_3,Drum0
japan-J19_Tiger_I_Jpn,Drum0
japan-J20_Type_2605,Drum0
japan-J21_Type_91,Drum0
japan-J22_Type_95,Drum0
japan-J22_Type_95_bootcamp,Drum0
japan-J23_Mi_To,Drum0
japan-J24_Mi_To_130_tons,Drum0
japan-J25_Type_4,Drum0
japan-J26_Type_89,Drum0
japan-J27_O_I_120,Drum0
japan-J28_O_I_100,Drum0
japan-J29_Nameless,Drum0
japan-J30_Edelweiss,Drum0
#
#
#
noImage,Drum0
#
# Poland
#
poland-Pl01_TKS_20mm,Drum1
poland-Pl03_PzV_Poland,Drum0
poland-Pl05_50TP_Tyszkiewicza,Drum0
poland-Pl06_10TP,Drum0
poland-Pl07_14TP,Drum1
poland-Pl08_50TP_prototyp,Drum0
poland-Pl09_7TP,Drum0
poland-Pl10_40TP_Habicha,Drum0
poland-Pl11_45TP_Habicha,Drum0
poland-Pl12_25TP_KSUST_II,Drum1
poland-Pl13_53TP_Markowskiego,Drum0
poland-Pl14_4TP,Drum1
poland-Pl15_60TP_Lewandowskiego,Drum0
#
# Sweden
#
sweden-S01_Strv_74_A2,Drum1
sweden-S02_Strv_M42,Drum0
sweden-S03_Strv_M38,Drum1
sweden-S04_Lago_I,Drum0
sweden-S05_Strv_M21_29,Drum1
sweden-S06_Ikv_90_Typ_B_Bofors,Drum0
sweden-S07_Strv_74,Drum0
sweden-S08_Ikv_65_Alt_2,Drum0
sweden-S09_L_120_TD,Drum1
sweden-S10_Strv_103_0_Series,Drum0
sweden-S11_Strv_103B,Drum0
sweden-S12_Strv_M40,Drum0
sweden-S13_Leo,Drum0
sweden-S14_Ikv_103,Drum0
sweden-S15_L_60,Drum1
sweden-S16_Kranvagn,Drum1
sweden-S17_EMIL_1952_E2,Drum1
sweden-S18_EMIL_1951_E1,Drum1
sweden-S19_Sav_M43,Drum0
sweden-S20_Ikv_72,Drum0
sweden-S21_UDES_03,Drum0
sweden-S22_Strv_S1,Drum0
sweden-S23_Strv_81,Drum0
sweden-S23_Strv_81_sabaton,Drum0
sweden-S25_EMIL_51,Drum1
sweden-S26_Lansen_C,Drum0
sweden-S27_UDES_16,Drum0
sweden-S28_UDES_15_16,Drum0
sweden-S29_UDES_14_5,Drum0
#
# UK
#
uk-GB01_Medium_Mark_I,Drum0
uk-GB01_Medium_Mark_I_bot,Drum0
uk-GB03_Cruiser_Mk_I,Drum1
uk-GB04_Valentine,Drum0
uk-GB05_Vickers_Medium_Mk_II,Drum0
uk-GB05_Vickers_Medium_Mk_II_bot,Drum0
uk-GB06_Vickers_Medium_Mk_III,Drum0
uk-GB07_Matilda,Drum0
uk-GB08_Churchill_I,Drum0
uk-GB08_Churchill_I_IGR,Drum0
uk-GB09_Churchill_VII,Drum0
uk-GB10_Black_Prince,Drum0
uk-GB101_FV1066_Senlac,Drum0
uk-GB11_Caernarvon,Drum0
uk-GB11_Caernarvon_IGR,Drum0
uk-GB12_Conqueror,Drum0
uk-GB13_FV215b,Drum0
uk-GB13_FV215b_IGR,Drum0
uk-GB14_M2,Drum1
uk-GB15_Stuart_I,Drum0
uk-GB17_Grant_I,Drum0
uk-GB19_Sherman_Firefly,Drum0
uk-GB20_Crusader,Drum0
uk-GB21_Cromwell,Drum0
uk-GB21_Cromwell_IGR,Drum0
uk-GB22_Comet,Drum0
uk-GB23_Centurion,Drum0
uk-GB23_Centurion_IGR,Drum0
uk-GB24_Centurion_Mk3,Drum0
uk-GB25_Loyd_Gun_Carriage,Drum0
uk-GB26_Birch_Gun,Drum0
uk-GB27_Sexton,Drum0
uk-GB28_Bishop,Drum0
uk-GB29_Crusader_5inch,Drum0
uk-GB30_FV3805,Drum0
uk-GB31_Conqueror_Gun,Drum0
uk-GB32_Tortoise,Drum0
uk-GB33_Sentinel_AC_I,Drum0
uk-GB35_Sentinel_AC_IV,Drum0
uk-GB39_Universal_CarrierQF2,Drum0
uk-GB40_Gun_Carrier_Churchill,Drum0
uk-GB41_Challenger,Drum0
uk-GB42_Valentine_AT,Drum0
uk-GB44_Archer,Drum0
uk-GB45_Achilles_IIC,Drum0
uk-GB48_FV215b_183,Drum0
uk-GB50_Sherman_III,Drum0
uk-GB51_Excelsior,Drum0
uk-GB52_A45,Drum0
uk-GB57_Alecto,Drum0
uk-GB58_Cruiser_Mk_III,Drum1
uk-GB59_Cruiser_Mk_IV,Drum1
uk-GB60_Covenanter,Drum1
uk-GB63_TOG_II,Drum0
uk-GB68_Matilda_Black_Prince,Drum0
uk-GB69_Cruiser_Mk_II,Drum1
uk-GB70_FV4202_105,Drum0
uk-GB70_N_FV4202_105,Drum0
uk-GB70_N_FV4202_105_FL,Drum0
uk-GB71_AT_15A,Drum0
uk-GB72_AT15,Drum0
uk-GB72_AT15_IGR,Drum0
uk-GB73_AT2,Drum0
uk-GB74_AT8,Drum0
uk-GB75_AT7,Drum1
uk-GB76_Mk_VIC,Drum1
uk-GB77_FV304,Drum0
uk-GB77_FV304_IGR,Drum0
uk-GB78_Sexton_I,Drum0
uk-GB79_FV206,Drum0
uk-GB80_Charioteer,Drum0
uk-GB81_FV4004,Drum0
uk-GB83_FV4005,Drum0
uk-GB84_Chieftain_Mk6,Drum0
uk-GB85_Cromwell_Berlin,Drum0
uk-GB86_Centurion_Action_X,Drum0
uk-GB87_Chieftain_T95_turret,Drum0
uk-GB88_T95_Chieftain_turret,Drum0
uk-GB91_Super_Conqueror,Drum0
uk-GB92_FV217,Drum0
uk-GB93_Caernarvon_AX,Drum0
uk-GB94_Centurion_Mk5-1_RAAC,Drum0
uk-GB95_Ekins_Firefly_M4A4,Drum0
uk-GB96_Excalibur,Drum0
uk-GB97_Chimera,Drum0
uk-GB98_T95_FV4201_Chieftain,Drum0
#
#
#
unknown,Drum0
#
# USA
#
usa-A01_T1_Cunningham,Drum1
usa-A01_T1_Cunningham_bot,Drum0
usa-A02_M2_lt,Drum1
usa-A03_M3_Stuart,Drum1
usa-A03_M3_Stuart_bootcamp,Drum1
usa-A04_M3_Grant,Drum0
usa-A05_M4_Sherman,Drum0
usa-A05_M4_Sherman_IGR,Drum0
usa-A06_M4A3E8_Sherman,Drum0
usa-A06_M4A3E8_Sherman_training,Drum0
usa-A07_T20,Drum0
usa-A08_T23,Drum1
usa-A09_T1_hvy,Drum0
usa-A10_M6,Drum0
usa-A100_T49,Drum0
usa-A101_M56,Drum0
usa-A102_T28_concept,Drum0
usa-A103_T71E1,Drum1
usa-A103_T71E1_IGR,Drum1
usa-A104_M4A3E8A,Drum0
usa-A106_M48A2_120,Drum0
usa-A107_T1_HMC,Drum0
usa-A108_T18_HMC,Drum0
usa-A109_T56_GMC,Drum0
usa-A11_T29,Drum0
usa-A11_T29_IGR,Drum0
usa-A111_T25_Pilot,Drum0
usa-A112_T71E2,Drum0
usa-A112_T71E2R,Drum0
usa-A115_Chrysler_K,Drum0
usa-A115_Chrysler_K_GF,Drum0
usa-A116_XM551,Drum0
usa-A117_T26E5,Drum0
usa-A117_T26E5_Patriot,Drum0
usa-A118_M4_Thunderbolt,Drum0
usa-A12_T32,Drum0
usa-A120_M48A5,Drum0
usa-A120_M48A5_IGR,Drum0
usa-A121_M26_Cologne,Drum0
usa-A122_TS-5,Drum0
usa-A123_T78,Drum0
usa-A126_PzVI_Tiger_II_capt,Drum0
usa-A127_TL_1_LPC,Drum0
usa-A13_T34_hvy,Drum0
usa-A13_T34_hvy_BF,Drum0
usa-A13_T34_hvy_FL,Drum0
usa-A13_T34_hvy_IGR,Drum0
usa-A14_T30,Drum0
usa-A15_T57,Drum1
usa-A16_M7_Priest,Drum0
usa-A17_M37,Drum0
usa-A18_M41,Drum0
usa-A19_T2_lt,Drum1
usa-A21_T14,Drum0
usa-A22_M5_Stuart,Drum1
usa-A22_M5_Stuart_bootcamp,Drum0
usa-A23_M7_med,Drum0
usa-A24_T2_med,Drum1
usa-A24_T2_med_bot,Drum1
usa-A25_M2_med,Drum0
usa-A25_M2_med_bootcamp,Drum0
usa-A26_T18,Drum1
usa-A27_T82,Drum0
usa-A29_T40,Drum0
usa-A30_M10_Wolverine,Drum0
usa-A31_M36_Slagger,Drum0
usa-A32_M12,Drum0
usa-A33_MTLS-1G14,Drum1
usa-A34_M24_Chaffee,Drum0
usa-A35_Pershing,Drum0
usa-A35_Pershing_IGR,Drum0
usa-A36_Sherman_Jumbo,Drum0
usa-A36_Sherman_Jumbo_bootcamp,Drum0
usa-A36_Sherman_Jumbo_IGR,Drum0
usa-A37_M40M43,Drum0
usa-A38_T92,Drum0
usa-A39_T28,Drum0
usa-A40_T95,Drum0
usa-A41_M18_Hellcat,Drum0
usa-A43_M22_Locust,Drum0
usa-A44_M4A2E4,Drum0
usa-A45_M6A2E1,Drum0
usa-A46_T3,Drum0
usa-A57_M8A1,Drum0
usa-A58_T67,Drum0
usa-A58_T67_IGR,Drum0
usa-A62_Ram-II,Drum0
usa-A63_M46_Patton,Drum0
usa-A63_M46_Patton_KR,Drum0
usa-A64_T25_AT,Drum0
usa-A66_M103,Drum0
usa-A67_T57_58,Drum1
usa-A68_T28_Prototype,Drum0
usa-A69_T110E5,Drum0
usa-A71_T21,Drum0
usa-A72_T25_2,Drum0
usa-A74_T1_E6,Drum1
usa-A78_M4_Improved,Drum0
usa-A80_T26_E4_SuperPershing,Drum0
usa-A80_T26_E4_SuperPershing_FL,Drum0
usa-A81_T95_E2,Drum0
usa-A83_T110E4,Drum0
usa-A85_T110E3,Drum0
usa-A86_T23E3,Drum0
usa-A87_M44,Drum0
usa-A88_M53_55,Drum0
usa-A89_T54E1,Drum1
usa-A90_T69,Drum1
usa-A90_T69_IGR,Drum1
usa-A92_M60,Drum0
usa-A93_T7_Combat_Car,Drum1
usa-A94_T37,Drum0
usa-A95_T95_E6,Drum0
usa-A97_M41_Bulldog,Drum0
usa-A99_T92_LT,Drum0
#
# USSR
#
ussr-Observer,Drum0
ussr-R01_IS,Drum0
ussr-R02_SU-85,Drum0
ussr-R03_BT-7,Drum1
ussr-R03_BT-7_bootcamp,Drum0
ussr-R04_T-34,Drum0
ussr-R05_KV,Drum0
ussr-R06_T-28,Drum0
ussr-R06_T-28_bootcamp,Drum0
ussr-R07_T-34-85,Drum0
ussr-R07_T-34-85_bootcamp,Drum0
ussr-R07_T-34-85_training,Drum0
ussr-R08_BT-2,Drum1
ussr-R08_BT-2_bootcamp,Drum0
ussr-R09_T-26,Drum0
ussr-R09_T-26_bot,Drum0
ussr-R10_AT-1,Drum0
ussr-R100_SU122A,Drum0
ussr-R101_MT25,Drum0
ussr-R104_Object_430_II,Drum0
ussr-R105_BT_7A,Drum0
ussr-R106_KV85,Drum0
ussr-R106_KV85_IGR,Drum0
ussr-R107_LTB,Drum0
ussr-R108_T34_85M,Drum0
ussr-R109_T54S,Drum0
ussr-R11_MS-1,Drum0
ussr-R11_MS-1_bot,Drum0
ussr-R110_Object_260,Drum0
ussr-R111_ISU130,Drum0
ussr-R112_T54_45,Drum0
ussr-R112_T54_45_FL,Drum0
ussr-R113_Object_730,Drum0
ussr-R114_Object_244,Drum0
ussr-R115_IS-3_auto,Drum1
ussr-R115_IS-3_auto_test,Drum1
ussr-R116_ISU122C_Berlin,Drum0
ussr-R117_T34_85_Rudy,Drum0
ussr-R118_T28_F30,Drum0
ussr-R119_Object_777,Drum0
ussr-R12_A-20,Drum1
ussr-R120_T22SR_A22,Drum0
ussr-R121_KV4_KTT,Drum0
ussr-R122_T44_100,Drum0
ussr-R122_T44_100B,Drum0
ussr-R123_Kirovets_1,Drum0
ussr-R125_T_45,Drum0
ussr-R126_Object_730_5,Drum0
ussr-R127_T44_100_K,Drum0
ussr-R127_T44_100_P,Drum0
ussr-R127_T44_100_U,Drum0
ussr-R128_KV4_Kreslavskiy,Drum0
ussr-R129_Object_257,Drum0
ussr-R13_KV-1s,Drum0
ussr-R131_Tank_Gavalov,Drum0
ussr-R132_VNII_100LT,Drum0
ussr-R133_KV_122,Drum0
ussr-R134_Object_252K,Drum0
ussr-R134_Object_252U,Drum0
ussr-R135_T_103,Drum0
ussr-R139_IS_M,Drum0
ussr-R14_SU-5,Drum0
ussr-R140_M4_Loza,Drum0
ussr-R143_T_29,Drum0
ussr-R144_K_91,Drum0
ussr-R145_Object_705_A,Drum0
ussr-R146_STG,Drum0
ussr-R146_STG_Tday,Drum0
ussr-R148_Object_430_U,Drum0
ussr-R149_Object_268_4,Drum0
ussr-R15_S-51,Drum0
ussr-R151_Object_257_2,Drum0
ussr-R152_KV2_W,Drum0
ussr-R153_Object_705,Drum0
ussr-R154_T_34E_1943,Drum0
ussr-R155_Object_277,Drum0
ussr-R156_IS_2M,Drum0
ussr-R157_Object_279R,Drum0
ussr-R158_LT_432,Drum0
ussr-R159_SU_130PM,Drum0
ussr-R161_T_116,Drum0
ussr-R16_SU-18,Drum0
ussr-R160_T_50_2,Drum0
ussr-R17_SU-100,Drum0
ussr-R18_SU-152,Drum0
ussr-R18_SU-152_IGR,Drum0
ussr-R19_IS-3,Drum0
ussr-R19_IS-3_IGR,Drum0
ussr-R20_T-44,Drum0
ussr-R20_T-44_FL,Drum0
ussr-R20_T-44_IGR,Drum0
ussr-R22_T-46,Drum1
ussr-R22_T-46_bootcamp,Drum0
ussr-R23_T-43,Drum0
ussr-R24_SU-76,Drum0
ussr-R25_GAZ-74b,Drum0
ussr-R26_SU-8,Drum0
ussr-R27_SU-14,Drum0
ussr-R31_Valentine_LL,Drum0
ussr-R31_Valentine_LL_IGR,Drum0
ussr-R32_Matilda_II_LL,Drum0
ussr-R33_Churchill_LL,Drum0
ussr-R34_BT-SV,Drum0
ussr-R38_KV-220,Drum0
ussr-R38_KV-220_beta,Drum0
ussr-R39_KV-3,Drum0
ussr-R40_T-54,Drum0
ussr-R41_T-50,Drum0
ussr-R42_T-60,Drum1
ussr-R43_T-70,Drum0
ussr-R43_T-70_bootcamp,Drum0
ussr-R44_T80,Drum1
ussr-R45_IS-7,Drum0
ussr-R45_IS-7_fallout,Drum0
ussr-R45_IS-7_IGR,Drum0
ussr-R46_KV-13,Drum0
ussr-R47_ISU-152,Drum0
ussr-R47_ISU-152_IGR,Drum0
ussr-R49_SU100Y,Drum0
ussr-R50_SU76I,Drum0
ussr-R50_SU76I_bootcamp,Drum0
ussr-R51_Object_212,Drum0
ussr-R52_Object_261,Drum0
