WOT-DATA,2
{{EN}},"Contains ""*"" for every tank which has a rotating turret."
france-F70_SARL42,*,#589
france-F71_AMX_30_prototype,*,#589
france-F72_AMX_30,*,#589
france-F73_M4A1_Revalorise,*,#589
france-F73_M4A1_Revalorise_FL,*,#589
france-F74_AMX_M4_1949,*,#589
france-F74_AMX_M4_1949_FL,*,#589
france-F74_AMX_M4_1949_Liberte,*,#589
france-F75_Char_de_25t,*,#589
france-F81_Char_de_65t,*,#589
france-F82_AMX_M4_Mle1949_Ter,*,#589
france-F83_AMX_M4_Mle1949_Bis,*,#589
france-F84_Somua_SM,*,#589
france-F85_M4A1_FL10,*,#589
france-F87_Batignolles-Chatillon_12t,*,#589
france-F88_AMX_13_105,*,#589
france-F97_ELC_EVEN_90,*,#589
france-F97_ELC_EVEN_90_FL,*,#589
germany-G00_Bomber_Hell,*,#589
germany-G00_Bomber_SH,*,#589
germany-G03_PzV_Panther,*,#589
germany-G03_PzV_Panther_bootcamp,*,#589
germany-G03_PzV_Panther_IGR,*,#589
germany-G03_PzV_Panther_training,*,#589
germany-G04_PzVI_Tiger_I,*,#589
germany-G04_PzVI_Tiger_I_IGR,*,#589
germany-G04_PzVI_Tiger_IA,*,#589
germany-G06_PzII,*,#589
germany-G06_PzII_bot,*,#589
germany-G07_Pz35t,*,#589
germany-G08_Pz38t,*,#589
germany-G08_Pz38t_bootcamp,*,#589
germany-G10_PzIII_AusfJ,*,#589
germany-G10_PzIII_AusfJ_training,*,#589
germany-G100_Gtraktor_Krupp,*,#589
germany-G102_Pz_III,*,#589
germany-G102_Pz_III_bootcamp,*,#589
germany-G103_RU_251,*,#589
germany-G105_T-55_NVA_DDR,*,#589
germany-G106_PzKpfwPanther_AusfF,*,#589
germany-G107_PzKpfwIII_AusfK,*,#589
germany-G108_PzKpfwII_AusfD,*,#589
germany-G109_Steyr_WT,*,#589
germany-G110_Typ_205,*,#589
germany-G113_SP_I_C,*,#589
germany-G114_Rheinmetall_Skorpian,*,#589
germany-G114_Rheinmetall_Skorpian_HELL,*,#589
germany-G114_Skorpian,*,#589
germany-G115_Typ_205_4_Jun,*,#589
germany-G115_Typ_205B,*,#589
germany-G116_Turan_III_prot,*,#589
germany-G117_Toldi_III,*,#589
germany-G117_Toldi_III_bootcamp,*,#589
germany-G118_VK4503,*,#589
germany-G119_Panzer58,*,#589
germany-G119_Panzer58_BF,*,#589
germany-G119_Panzer58_FL,*,#589
germany-G119_Pz58_Mutz,*,#589
germany-G12_Ltraktor,*,#589
germany-G12_Ltraktor_bot,*,#589
germany-G120_M41_90,*,#589
germany-G120_M41_90_GrandFinal,*,#589
germany-G122_VK6501H,*,#589
germany-G125_Spz_57_Rh,*,#589
germany-G126_HWK_12,*,#589
germany-G13_VK3001H,*,#589
germany-G134_PzKpfw_VII,*,#589
germany-G134_PzKpfw_VII_bob,*,#589
germany-G136_Tiger_131,*,#589
germany-G137_PzVI_Tiger_217,*,#589
germany-G138_VK168_02,*,#589
germany-G138_VK168_02_Mauerbrecher,*,#589
germany-G139_MKA,*,#589
germany-G140_HWK_30,*,#589
germany-G141_VK7501K,*,#589
germany-G142_M48RPz,*,#589
germany-G143_E75_TS,*,#589
germany-G144_Kpz_50t,*,#589
germany-G146_E100_Hell_Boss,*,#589
germany-G15_VK3601H,*,#589
germany-G16_PzVIB_Tiger_II,*,#589
germany-G16_PzVIB_Tiger_II_F,*,#589
germany-G16_PzVIB_Tiger_II_IGR,*,#589
germany-G16_PzVIB_Tiger_II_training,*,#589
germany-G24_VK3002DB,*,#589
germany-G24_VK3002DB_SH,*,#589
germany-G25_PzII_Luchs,*,#589
germany-G25_PzII_Luchs_HELL,*,#589
germany-G25_PzII_Luchs_HELL_HALL,*,#589
germany-G26_VK1602,*,#589
germany-G27_VK3001P,*,#589
germany-G28_PzIII_IV,*,#589
germany-G32_PzV_PzIV,*,#589
germany-G32_PzV_PzIV_ausf_Alfa,*,#589
germany-G32_PzV_PzIV_ausf_Alfa_CN,*,#589
germany-G32_PzV_PzIV_CN,*,#589
germany-G33_H39_captured,*,#589
germany-G34_S35_captured,*,#589
germany-G35_B-1bis_captured,*,#589
germany-G36_PzII_J,*,#589
germany-G42_Maus,*,#589
germany-G42_Maus_IGR,*,#589
germany-G46_T-25,*,#589
germany-G50_T-15,*,#589
germany-G51_Lowe,*,#589
germany-G51_Lowe_FL,*,#589
germany-G52_Pz38_NA,*,#589
germany-G53_PzI,*,#589
germany-G54_E-50,*,#589
germany-G54_E-50_Hall_minion,*,#589
germany-G55_E-75,*,#589
germany-G56_E-100,*,#589
germany-G57_PzVI_Tiger_P,*,#589
germany-G58_VK4502P,*,#589
germany-G58_VK4502P7,*,#589
germany-G63_PzI_ausf_C,*,#589
germany-G64_Panther_II,*,#589
germany-G64_Panther_II_Hall_minion,*,#589
germany-G64_Panther_II_IGR,*,#589
germany-G66_VK2801,*,#589
germany-G67_VK4502A,*,#589
germany-G70_PzIV_Hydro,*,#589
germany-G73_E50_Ausf_M,*,#589
germany-G73_E50_Ausf_M_Hall_minion,*,#589
germany-G77_PzIV_Schmalturm,*,#589
germany-G78_Panther_M10,*,#589
germany-G79_Pz_IV_AusfGH,*,#589
germany-G80_Pz_IV_AusfD,*,#589
germany-G80_Pz_IV_AusfD_bootcamp,*,#589
germany-G81_Pz_IV_AusfH,*,#589
germany-G82_Pz_II_AusfG,*,#589
germany-G83_Pz_IV_AusfA,*,#589
germany-G85_Auf_Panther,*,#589
germany-G85_Aufklarungspanzer_V,*,#589
germany-G86_VK2001DB,*,#589
germany-G87_VK3002DB_V1,*,#589
germany-G88_Indien_Panzer,*,#589
germany-G89_Leopard1,*,#589
germany-G90_DW_II,*,#589
germany-G91_Pro_Ag_A,*,#589
germany-G92_VK7201,*,#589
germany-G96_VK3002M,*,#589
germany-G97_Waffentrager_IV,*,#589
germany-G98_Waffentrager_E100,*,#589
germany-G98_Waffentrager_E100_P,*,#589
germany-G99_RhB_Waffentrager,*,#589
italy-It03_M15_42,*,#589
italy-It04_Fiat_3000,*,#589
italy-It05_Carro_L6_40,*,#589
italy-It06_M14_41,*,#589
italy-It07_P26_40,*,#589
italy-It08_Progetto_M40_mod_65,*,#589
italy-It08_Progetto_M40_mod_65_bob,*,#589
italy-It09_P43_ter,*,#589
italy-It09_P43_ter_HELL,*,#589
italy-It10_P43_bis,*,#589
italy-It10_P43_bis_HELL,*,#589
italy-It11_P43,*,#589
italy-It12_Prototipo_Standard_B,*,#589
italy-It13_Progetto_M35_mod_46,*,#589
italy-It14_P44_Pantera,*,#589
italy-It14_P44_Pantera_HELL,*,#589
italy-It18_Progetto_C45_mod_71,*,#589
italy-It20_Carro_Combattimento_45t,*,#589
japan-J01_NC27,*,#589
japan-J01_NC27_bot,*,#589
japan-J02_Te_Ke,*,#589
japan-J03_Ha_Go,*,#589
japan-J04_Ke_Ni,*,#589
japan-J04_Ke_Ni_bootcamp,*,#589
japan-J05_Ke_Ni_B,*,#589
japan-J06_Ke_Ho,*,#589
japan-J07_Chi_Ha,*,#589
japan-J08_Chi_Nu,*,#589
japan-J09_Chi_He,*,#589
japan-J10_Chi_To,*,#589
japan-J11_Chi_Ri,*,#589
japan-J11_Chi_Ri_IGR,*,#589
japan-J12_Chi_Nu_Kai,*,#589
japan-J13_STA_1,*,#589
japan-J13_STA_1_IGR,*,#589
japan-J14_Type_61,*,#589
japan-J15_Chi_Ni,*,#589
japan-J16_ST_B1,*,#589
japan-J16_ST_B1_IGR,*,#589
japan-J18_STA_2_3,*,#589
japan-J19_Tiger_I_Jpn,*,#589
japan-J20_Type_2605,*,#589
japan-J21_Type_91,*,#589
japan-J22_Type_95,*,#589
japan-J22_Type_95_bootcamp,*,#589
japan-J23_Mi_To,*,#589
japan-J24_Mi_To_130_tons,*,#589
japan-J25_Type_4,*,#589
japan-J26_Type_89,*,#589
japan-J27_O_I_120,*,#589
japan-J28_O_I_100,*,#589
japan-J29_Nameless,*,#589
japan-J30_Edelweiss,*,#589
poland-Pl03_PzV_Poland,*,#589
poland-Pl05_50TP_Tyszkiewicza,*,#589
poland-Pl05_50TP_Tyszkiewicza_HELL,*,#589
poland-Pl06_10TP,*,#589
poland-Pl07_14TP,*,#589
poland-Pl08_50TP_prototyp,*,#589
poland-Pl09_7TP,*,#589
poland-Pl10_40TP_Habicha,*,#589
poland-Pl10_40TP_Habicha_HELL,*,#589
poland-Pl11_45TP_Habicha,*,#589
poland-Pl11_45TP_Habicha_HELL,*,#589
poland-Pl12_25TP_KSUST_II,*,#589
poland-Pl13_53TP_Markowskiego,*,#589
poland-Pl13_53TP_Markowskiego_HELL,*,#589
poland-Pl14_4TP,*,#589
poland-Pl15_60TP_Lewandowskiego,*,#589
poland-Pl16_T34_85_Rudy,*,#589
poland-Pl17_DS_PZlnz,*,#589
poland-Pl18_BUGI,*,#589
poland-Pl19_CS_52_LIS,*,#589
poland-Pl20_CS_44,*,#589
poland-Pl21_CS_63,*,#589
poland-Pl22_CS_59,*,#589
poland-Pl23_CS_53,*,#589
sweden-S01_Strv_74_A2,*,#589
sweden-S02_Strv_M42,*,#589
sweden-S03_Strv_M38,*,#589
sweden-S04_Lago_I,*,#589
sweden-S05_Strv_M21_29,*,#589
sweden-S07_Strv_74,*,#589
sweden-S12_Strv_M40,*,#589
sweden-S13_Leo,*,#589
sweden-S13_Leo_HELL,*,#589
sweden-S15_L_60,*,#589
sweden-S16_Kranvagn,*,#589
sweden-S17_EMIL_1952_E2,*,#589
sweden-S18_EMIL_1951_E1,*,#589
sweden-S23_Strv_81,*,#589
sweden-S23_Strv_81_sabaton,*,#589
sweden-S25_EMIL_51,*,#589
sweden-S26_Lansen_C,*,#589
sweden-S27_UDES_16,*,#589
sweden-S27_UDES_16_HELL,*,#589
sweden-S28_UDES_15_16,*,#589
sweden-S28_UDES_15_16_bob,*,#589
sweden-S29_UDES_14_5,*,#589
sweden-S29_UDES_14_5_HELL,*,#589
sweden-S30_UDES_03_Alt_3,*,#589
sweden-S31_Strv_K,*,#589
uk-GB01_Medium_Mark_I,*,#589
uk-GB01_Medium_Mark_I_bot,*,#589
uk-GB03_Cruiser_Mk_I,*,#589
uk-GB04_Valentine,*,#589
uk-GB05_Vickers_Medium_Mk_II,*,#589
uk-GB05_Vickers_Medium_Mk_II_bot,*,#589
uk-GB06_Vickers_Medium_Mk_III,*,#589
uk-GB07_Matilda,*,#589
uk-GB08_Churchill_I,*,#589
uk-GB08_Churchill_I_IGR,*,#589
uk-GB09_Churchill_VII,*,#589
uk-GB09_Churchill_VII_HALL,*,#589
uk-GB10_Black_Prince,*,#589
uk-GB10_Black_Prince_HALL,*,#589
uk-GB100_Manticore,*,#589
uk-GB101_FV1066_Senlac,*,#589
uk-GB102_LHMTV,*,#589
uk-GB103_GSOR3301_AVR_FS,*,#589
uk-GB104_GSR_3301_Setter,*,#589
uk-GB105_Black_Prince_2019,*,#589
uk-GB106_Cobra,*,#589
uk-GB107_Cavalier,*,#589
uk-GB107_Cavalier_SH,*,#589
uk-GB108_A46,*,#589
uk-GB109_GSOR_1008,*,#589
uk-GB11_Caernarvon,*,#589
uk-GB11_Caernarvon_HALL,*,#589
uk-GB11_Caernarvon_IGR,*,#589
uk-GB12_Conqueror,*,#589
uk-GB13_FV215b,*,#589
uk-GB13_FV215b_IGR,*,#589
uk-GB14_M2,*,#589
uk-GB15_Stuart_I,*,#589
uk-GB19_Sherman_Firefly,*,#589
uk-GB20_Crusader,*,#589
uk-GB21_Cromwell,*,#589
uk-GB21_Cromwell_IGR,*,#589
uk-GB22_Comet,*,#589
uk-GB23_Centurion,*,#589
uk-GB23_Centurion_IGR,*,#589
uk-GB24_Centurion_Mk3,*,#589
uk-GB24_Centurion_Mk3_Halloween_event,*,#589
uk-GB26_Birch_Gun,*,#589
uk-GB33_Sentinel_AC_I,*,#589
uk-GB35_Sentinel_AC_IV,*,#589
uk-GB37_Valliant,*,#589
uk-GB41_Challenger,*,#589
uk-GB45_Achilles_IIC,*,#589
uk-GB50_Sherman_III,*,#589
uk-GB51_Excelsior,*,#589
uk-GB52_A45,*,#589
uk-GB58_Cruiser_Mk_III,*,#589
uk-GB59_Cruiser_Mk_IV,*,#589
uk-GB60_Covenanter,*,#589
uk-GB63_TOG_II,*,#589
uk-GB68_Matilda_Black_Prince,*,#589
uk-GB69_Cruiser_Mk_II,*,#589
uk-GB70_FV4202_105,*,#589
uk-GB70_N_FV4202_105,*,#589
uk-GB70_N_FV4202_105_FL,*,#589
uk-GB76_Mk_VIC,*,#589
uk-GB80_Charioteer,*,#589
uk-GB81_FV4004,*,#589
uk-GB81_FV4004_HELL,*,#589
uk-GB84_Chieftain_Mk6,*,#589
uk-GB85_Cromwell_Berlin,*,#589
uk-GB86_Centurion_Action_X,*,#589
uk-GB87_Chieftain_T95_turret,*,#589
uk-GB88_T95_Chieftain_turret,*,#589
uk-GB91_Super_Conqueror,*,#589
uk-GB93_Caernarvon_AX,*,#589
uk-GB94_Centurion_Mk5-1_RAAC,*,#589
uk-GB95_Ekins_Firefly_M4A4,*,#589
uk-GB97_Chimera,*,#589
uk-GB98_T95_FV4201_Chieftain,*,#589
usa-A01_T1_Cunningham,*,#589
usa-A01_T1_Cunningham_bot,*,#589
usa-A02_M2_lt,*,#589
usa-A03_M3_Stuart,*,#589
usa-A03_M3_Stuart_bootcamp,*,#589
usa-A05_M4_Sherman,*,#589
usa-A05_M4_Sherman_IGR,*,#589
usa-A06_M4A3E8_Sherman,*,#589
usa-A06_M4A3E8_Sherman_training,*,#589
usa-A07_T20,*,#589
usa-A08_T23,*,#589
usa-A09_T1_hvy,*,#589
usa-A10_M6,*,#589
usa-A100_T49,*,#589
usa-A100_T49_Halloween_event,*,#589
usa-A103_T71E1,*,#589
usa-A103_T71E1_IGR,*,#589
usa-A104_M4A3E8A,*,#589
usa-A106_M48A2_120,*,#589
usa-A11_T29,*,#589
usa-A11_T29_IGR,*,#589
usa-A111_T25_Pilot,*,#589
usa-A112_T71E2,*,#589
usa-A112_T71E2R,*,#589
usa-A115_Chrysler_K,*,#589
usa-A115_Chrysler_K_GF,*,#589
usa-A116_XM551,*,#589
usa-A117_T26E5,*,#589
usa-A117_T26E5_FL,*,#589
usa-A117_T26E5_Patriot,*,#589
usa-A118_M4_Thunderbolt,*,#589
usa-A12_T32,*,#589
usa-A12_T32_FL,*,#589
usa-A120_M48A5,*,#589
usa-A120_M48A5_IGR,*,#589
usa-A121_M26_Cologne,*,#589
usa-A123_T78,*,#589
usa-A124_T54E2,*,#589
usa-A125_AEP_1,*,#589
usa-A126_PzVI_Tiger_II_capt,*,#589
usa-A127_TL_1_LPC,*,#589
usa-A128_concept_1b,*,#589
usa-A129_T6_medium,*,#589
usa-A13_T34_hvy,*,#589
usa-A13_T34_hvy_BF,*,#589
usa-A13_T34_hvy_FL,*,#589
usa-A13_T34_hvy_IGR,*,#589
usa-A130_Super_Hellcat,*,#589
usa-A132_T77,*,#589
usa-A134_M24E2_SuperChaffee,*,#589
usa-A136_T42,*,#589
usa-A14_T30,*,#589
usa-A14_T30_HELL,*,#589
usa-A19_T2_lt,*,#589
usa-A21_T14,*,#589
usa-A22_M5_Stuart,*,#589
usa-A22_M5_Stuart_bootcamp,*,#589
usa-A23_M7_med,*,#589
usa-A24_T2_med,*,#589
usa-A24_T2_med_bot,*,#589
usa-A25_M2_med,*,#589
usa-A25_M2_med_bootcamp,*,#589
usa-A30_M10_Wolverine,*,#589
usa-A31_M36_Slagger,*,#589
usa-A33_MTLS-1G14,*,#589
usa-A34_M24_Chaffee,*,#589
usa-A35_Pershing,*,#589
usa-A35_Pershing_HELL,*,#589
usa-A35_Pershing_IGR,*,#589
usa-A36_Sherman_Jumbo,*,#589
usa-A36_Sherman_Jumbo_bootcamp,*,#589
usa-A36_Sherman_Jumbo_HELL,*,#589
usa-A36_Sherman_Jumbo_IGR,*,#589
usa-A41_M18_Hellcat,*,#589
usa-A43_M22_Locust,*,#589
usa-A44_M4A2E4,*,#589
usa-A45_M6A2E1,*,#589
usa-A57_M8A1,*,#589
usa-A58_T67,*,#589
usa-A58_T67_IGR,*,#589
usa-A62_Ram-II,*,#589
usa-A63_M46_Patton,*,#589
usa-A63_M46_Patton_HALL,*,#589
usa-A63_M46_Patton_KR,*,#589
usa-A66_M103,*,#589
usa-A66_M103_Halloween_event,*,#589
usa-A67_T57_58,*,#589
usa-A68_T28_Prototype_HELL,*,#589
usa-A69_T110E5,*,#589
usa-A71_T21,*,#589
usa-A72_T25_2,*,#589
usa-A72_T25_2_SH,*,#589
usa-A74_T1_E6,*,#589
usa-A78_M4_Improved,*,#589
usa-A80_T26_E4_SuperPershing,*,#589
usa-A80_T26_E4_SuperPershing_FL,*,#589
usa-A81_T95_E2,*,#589
usa-A86_T23E3,*,#589
usa-A89_T54E1,*,#589
usa-A90_T69,*,#589
usa-A90_T69_IGR,*,#589
usa-A92_M60,*,#589
usa-A93_T7_Combat_Car,*,#589
usa-A94_T37,*,#589
usa-A95_T95_E6,*,#589
usa-A97_M41_Bulldog,*,#589
usa-A99_T92_LT,*,#589
ussr-Observer,*,#589
ussr-R01_IS,*,#589
ussr-R03_BT-7,*,#589
ussr-R03_BT-7_bootcamp,*,#589
ussr-R04_T-34,*,#589
ussr-R05_KV,*,#589
ussr-R06_T-28,*,#589
ussr-R06_T-28_bootcamp,*,#589
ussr-R07_T-34-85,*,#589
ussr-R07_T-34-85_bootcamp,*,#589
ussr-R07_T-34-85_training,*,#589
ussr-R08_BT-2,*,#589
ussr-R08_BT-2_bootcamp,*,#589
ussr-R09_T-26,*,#589
ussr-R09_T-26_bot,*,#589
ussr-R101_MT25,*,#589
ussr-R105_BT_7A,*,#589
ussr-R106_KV85,*,#589
ussr-R106_KV85_IGR,*,#589
ussr-R107_LTB,*,#589
ussr-R108_T34_85M,*,#589
ussr-R109_T54S,*,#589
ussr-R11_MS-1,*,#589
ussr-R11_MS-1_bot,*,#589
ussr-R110_Object_260,*,#589
ussr-R112_T54_45,*,#589
ussr-R112_T54_45_FL,*,#589
ussr-R113_Object_730,*,#589
ussr-R114_Object_244,*,#589
ussr-R115_IS-3_auto,*,#589
ussr-R115_IS-3_auto_test,*,#589
ussr-R117_T34_85_Rudy,*,#589
ussr-R118_T28_F30,*,#589
ussr-R119_Object_777,*,#589
ussr-R119_Object_777C,*,#589
ussr-R12_A-20,*,#589
ussr-R120_T22SR_A22,*,#589
ussr-R122_T44_100,*,#589
ussr-R122_T44_100B,*,#589
ussr-R123_Kirovets_1,*,#589
ussr-R125_T_45,*,#589
ussr-R126_Object_730_5,*,#589
ussr-R127_T44_100_K,*,#589
ussr-R127_T44_100_P,*,#589
ussr-R127_T44_100_U,*,#589
ussr-R128_KV4_Kreslavskiy,*,#589
ussr-R129_Object_257,*,#589
ussr-R13_KV-1s,*,#589
ussr-R131_Tank_Gavalov,*,#589
ussr-R132_VNII_100LT,*,#589
ussr-R133_KV_122,*,#589
ussr-R134_Object_252K,*,#589
ussr-R134_Object_252U,*,#589
ussr-R135_T_103,*,#589
ussr-R139_IS_M,*,#589
ussr-R140_M4_Loza,*,#589
ussr-R143_T_29,*,#589
ussr-R145_Object_705_A,*,#589
ussr-R146_STG,*,#589
ussr-R146_STG_Tday,*,#589
ussr-R148_Object_430_U,*,#589
ussr-R151_Object_257_2,*,#589
ussr-R152_KV2_W,*,#589
ussr-R153_Object_705,*,#589
ussr-R154_T_34E_1943,*,#589
ussr-R155_Object_277,*,#589
ussr-R156_IS_2M,*,#589
ussr-R157_Object_279R,*,#589
ussr-R158_LT_432,*,#589
ussr-R160_T_50_2,*,#589
ussr-R161_T_116,*,#589
ussr-R165_Object_703_II,*,#589
ussr-R165_Object_703_II_2,*,#589
ussr-R169_ST_II,*,#589
ussr-R170_IS_2_II,*,#589
ussr-R171_IS_3_II,*,#589
ussr-R172_Object_752,*,#589
ussr-R173_K_91_2,*,#589
ussr-R174_BT-5,*,#589
ussr-R175_IS_2_screen,*,#589
ussr-R178_Object_780,*,#589
ussr-R180_Object_274_A,*,#589
ussr-R19_IS-3,*,#589
ussr-R19_IS-3_IGR,*,#589
ussr-R20_T-44,*,#589
ussr-R20_T-44_FL,*,#589
ussr-R20_T-44_IGR,*,#589
ussr-R22_T-46,*,#589
ussr-R22_T-46_bootcamp,*,#589
ussr-R23_T-43,*,#589
ussr-R31_Valentine_LL,*,#589
ussr-R31_Valentine_LL_IGR,*,#589
ussr-R32_Matilda_II_LL,*,#589
ussr-R33_Churchill_LL,*,#589
ussr-R34_BT-SV,*,#589
ussr-R38_KV-220,*,#589
ussr-R38_KV-220_beta,*,#589
ussr-R39_KV-3,*,#589
ussr-R40_T-54,*,#589
ussr-R40_T-54_Halloween_event,*,#589
ussr-R41_T-50,*,#589
ussr-R42_T-60,*,#589
ussr-R43_T-70,*,#589
ussr-R43_T-70_bootcamp,*,#589
ussr-R44_T80,*,#589
ussr-R45_IS-7,*,#589
ussr-R45_IS-7_fallout,*,#589
ussr-R45_IS-7_IGR,*,#589
ussr-R46_KV-13,*,#589
ussr-R46_KV-13_SH,*,#589
ussr-R54_KV-5,*,#589
ussr-R54_KV-5_IGR,*,#589
ussr-R56_T-127,*,#589
ussr-R57_A43,*,#589
ussr-R59_A44,*,#589
ussr-R61_Object252,*,#589
ussr-R61_Object252_BF,*,#589
ussr-R61_Object252_FL,*,#589
ussr-R63_ST_I,*,#589
ussr-R66_SU-26,*,#589
ussr-R67_M3_LL,*,#589
ussr-R68_A-32,*,#589
ussr-R70_T_50_2,*,#589
ussr-R71_IS_2B,*,#589
ussr-R72_T150,*,#589
ussr-R73_KV4,*,#589
ussr-R77_KV2,*,#589
ussr-R77_KV2_IGR,*,#589
ussr-R77_KV2_turret_2,*,#589
ussr-R80_KV1,*,#589
ussr-R81_IS8,*,#589
ussr-R84_Tetrarch_LL,*,#589
ussr-R86_LTP,*,#589
ussr-R86_LTP_bootcamp,*,#589
ussr-R87_T62A,*,#589
ussr-R87_T62A_fallout,*,#589
ussr-R90_IS_4M,*,#589
ussr-R95_Object_907,*,#589
ussr-R95_Object_907A,*,#589
ussr-R96_Object_430,*,#589
ussr-R96_Object_430B,*,#589
ussr-R97_Object_140,*,#589
ussr-R97_Object_140_bob,*,#589
ussr-R98_T44_85,*,#589
ussr-R98_T44_85M,*,#589
ussr-R99_T44_122,*,#589
