WOT-DATA,2
{{EN}},"Contains ""*"" for every tank which has a rotating turret."
germany-G42_Maus_IGR,*,#794
germany-G46_T-25,*,#794
germany-G50_T-15,*,#794
germany-G51_Lowe,*,#794
germany-G51_Lowe_FL,*,#794
germany-G52_Pz38_NA,*,#794
germany-G53_PzI,*,#794
germany-G54_E-50,*,#794
germany-G55_E-75,*,#794
germany-G56_E-100,*,#794
germany-G57_PzVI_Tiger_P,*,#794
germany-G58_VK4502P,*,#794
germany-G58_VK4502P7,*,#794
germany-G63_PzI_ausf_C,*,#794
germany-G64_Panther_II,*,#794
germany-G64_Panther_II_IGR,*,#794
germany-G66_VK2801,*,#794
germany-G67_VK4502A,*,#794
germany-G70_PzIV_Hydro,*,#794
germany-G73_E50_Ausf_M,*,#794
germany-G77_PzIV_Schmalturm,*,#794
germany-G78_Panther_M10,*,#794
germany-G79_Pz_IV_AusfGH,*,#794
germany-G80_Pz_IV_AusfD,*,#794
germany-G80_Pz_IV_AusfD_bootcamp,*,#794
germany-G81_Pz_IV_AusfH,*,#794
germany-G81_Pz_IV_AusfH_GuP,*,#794
germany-G82_Pz_II_AusfG,*,#794
germany-G83_Pz_IV_AusfA,*,#794
germany-G85_Auf_Panther,*,#794
germany-G85_Aufklarungspanzer_V,*,#794
germany-G86_VK2001DB,*,#794
germany-G87_VK3002DB_V1,*,#794
germany-G88_Indien_Panzer,*,#794
germany-G89_Leopard1,*,#794
germany-G89_Leopard1_bob,*,#794
germany-G90_DW_II,*,#794
germany-G91_Pro_Ag_A,*,#794
germany-G92_VK7201,*,#794
germany-G96_VK3002M,*,#794
germany-G97_Waffentrager_IV,*,#794
germany-G98_Waffentrager_E100,*,#794
germany-G98_Waffentrager_E100_P,*,#794
germany-G99_RhB_Waffentrager,*,#794
italy-It03_M15_42,*,#794
italy-It04_Fiat_3000,*,#794
italy-It05_Carro_L6_40,*,#794
italy-It06_M14_41,*,#794
italy-It07_P26_40,*,#794
italy-It08_Progetto_M40_mod_65,*,#794
italy-It08_Progetto_M40_mod_65_bob,*,#794
italy-It09_P43_ter,*,#794
italy-It10_P43_bis,*,#794
italy-It11_P43,*,#794
italy-It12_Prototipo_Standard_B,*,#794
italy-It13_Progetto_M35_mod_46,*,#794
italy-It14_P44_Pantera,*,#794
italy-It15_Rinoceronte,*,#794
italy-It16_Carro_d_assalto_P88,*,#794
italy-It17_Progetto_CC55_mod_54,*,#794
italy-It18_Progetto_C45_mod_71,*,#794
italy-It19_Progetto_C50_mod_66,*,#794
italy-It20_Carro_Combattimento_45t,*,#794
japan-J01_NC27,*,#794
japan-J01_NC27_bot,*,#794
japan-J02_Te_Ke,*,#794
japan-J03_Ha_Go,*,#794
japan-J04_Ke_Ni,*,#794
japan-J04_Ke_Ni_bootcamp,*,#794
japan-J05_Ke_Ni_B,*,#794
japan-J06_Ke_Ho,*,#794
japan-J07_Chi_Ha,*,#794
japan-J08_Chi_Nu,*,#794
japan-J09_Chi_He,*,#794
japan-J10_Chi_To,*,#794
japan-J11_Chi_Ri,*,#794
japan-J11_Chi_Ri_IGR,*,#794
japan-J12_Chi_Nu_Kai,*,#794
japan-J13_STA_1,*,#794
japan-J13_STA_1_IGR,*,#794
japan-J14_Type_61,*,#794
japan-J15_Chi_Ni,*,#794
japan-J16_ST_B1,*,#794
japan-J16_ST_B1_IGR,*,#794
japan-J18_STA_2_3,*,#794
japan-J19_Tiger_I_Jpn,*,#794
japan-J20_Type_2605,*,#794
japan-J21_Type_91,*,#794
japan-J22_Type_95,*,#794
japan-J22_Type_95_bootcamp,*,#794
japan-J23_Mi_To,*,#794
japan-J24_Mi_To_130_tons,*,#794
japan-J25_Type_4,*,#794
japan-J26_Type_89,*,#794
japan-J27_O_I_120,*,#794
japan-J28_O_I_100,*,#794
japan-J29_Nameless,*,#794
japan-J30_Edelweiss,*,#794
poland-Pl03_PzV_Poland,*,#794
poland-Pl05_50TP_Tyszkiewicza,*,#794
poland-Pl06_10TP,*,#794
poland-Pl07_14TP,*,#794
poland-Pl08_50TP_prototyp,*,#794
poland-Pl09_7TP,*,#794
poland-Pl10_40TP_Habicha,*,#794
poland-Pl11_45TP_Habicha,*,#794
poland-Pl12_25TP_KSUST_II,*,#794
poland-Pl13_53TP_Markowskiego,*,#794
poland-Pl14_4TP,*,#794
poland-Pl15_60TP_Lewandowskiego,*,#794
poland-Pl16_T34_85_Rudy,*,#794
poland-Pl17_DS_PZlnz,*,#794
poland-Pl18_BUGI,*,#794
poland-Pl19_CS_52_LIS,*,#794
poland-Pl20_CS_44,*,#794
poland-Pl21_CS_63,*,#794
poland-Pl22_CS_59,*,#794
poland-Pl23_CS_53,*,#794
sweden-S01_Strv_74_A2,*,#794
sweden-S02_Strv_M42,*,#794
sweden-S03_Strv_M38,*,#794
sweden-S04_Lago_I,*,#794
sweden-S05_Strv_M21_29,*,#794
sweden-S07_Strv_74,*,#794
sweden-S12_Strv_M40,*,#794
sweden-S13_Leo,*,#794
sweden-S15_L_60,*,#794
sweden-S16_Kranvagn,*,#794
sweden-S16_Kranvagn_bob,*,#794
sweden-S17_EMIL_1952_E2,*,#794
sweden-S18_EMIL_1951_E1,*,#794
sweden-S23_Strv_81,*,#794
sweden-S23_Strv_81_sabaton,*,#794
sweden-S25_EMIL_51,*,#794
sweden-S26_Lansen_C,*,#794
sweden-S27_UDES_16,*,#794
sweden-S28_UDES_15_16,*,#794
sweden-S29_UDES_14_5,*,#794
sweden-S30_UDES_03_Alt_3,*,#794
sweden-S31_Strv_K,*,#794
uk-GB01_Medium_Mark_I,*,#794
uk-GB01_Medium_Mark_I_bot,*,#794
uk-GB03_Cruiser_Mk_I,*,#794
uk-GB04_Valentine,*,#794
uk-GB05_Vickers_Medium_Mk_II,*,#794
uk-GB05_Vickers_Medium_Mk_II_bot,*,#794
uk-GB06_Vickers_Medium_Mk_III,*,#794
uk-GB07_Matilda,*,#794
uk-GB08_Churchill_I,*,#794
uk-GB08_Churchill_I_IGR,*,#794
uk-GB09_Churchill_VII,*,#794
uk-GB10_Black_Prince,*,#794
uk-GB100_Manticore,*,#794
uk-GB101_FV1066_Senlac,*,#794
uk-GB102_LHMTV,*,#794
uk-GB103_GSOR3301_AVR_FS,*,#794
uk-GB104_GSR_3301_Setter,*,#794
uk-GB105_Black_Prince_2019,*,#794
uk-GB106_Cobra,*,#794
uk-GB107_Cavalier,*,#794
uk-GB107_Cavalier_SH,*,#794
uk-GB108_A46,*,#794
uk-GB109_GSOR_1008,*,#794
uk-GB11_Caernarvon,*,#794
uk-GB11_Caernarvon_IGR,*,#794
uk-GB111_Charlemagne,*,#794
uk-GB12_Conqueror,*,#794
uk-GB13_FV215b,*,#794
uk-GB13_FV215b_IGR,*,#794
uk-GB14_M2,*,#794
uk-GB15_Stuart_I,*,#794
uk-GB19_Sherman_Firefly,*,#794
uk-GB20_Crusader,*,#794
uk-GB21_Cromwell,*,#794
uk-GB21_Cromwell_IGR,*,#794
uk-GB22_Comet,*,#794
uk-GB23_Centurion,*,#794
uk-GB23_Centurion_IGR,*,#794
uk-GB24_Centurion_Mk3,*,#794
uk-GB26_Birch_Gun,*,#794
uk-GB33_Sentinel_AC_I,*,#794
uk-GB35_Sentinel_AC_IV,*,#794
uk-GB37_Valliant,*,#794
uk-GB41_Challenger,*,#794
uk-GB45_Achilles_IIC,*,#794
uk-GB50_Sherman_III,*,#794
uk-GB51_Excelsior,*,#794
uk-GB52_A45,*,#794
uk-GB58_Cruiser_Mk_III,*,#794
uk-GB59_Cruiser_Mk_IV,*,#794
uk-GB60_Covenanter,*,#794
uk-GB63_TOG_II,*,#794
uk-GB68_Matilda_Black_Prince,*,#794
uk-GB69_Cruiser_Mk_II,*,#794
uk-GB70_FV4202_105,*,#794
uk-GB70_N_FV4202_105,*,#794
uk-GB70_N_FV4202_105_FL,*,#794
uk-GB76_Mk_VIC,*,#794
uk-GB80_Charioteer,*,#794
uk-GB81_FV4004,*,#794
uk-GB84_Chieftain_Mk6,*,#794
uk-GB85_Cromwell_Berlin,*,#794
uk-GB86_Centurion_Action_X,*,#794
uk-GB87_Chieftain_T95_turret,*,#794
uk-GB88_T95_Chieftain_turret,*,#794
uk-GB91_Super_Conqueror,*,#794
uk-GB93_Caernarvon_AX,*,#794
uk-GB94_Centurion_Mk5-1_RAAC,*,#794
uk-GB95_Ekins_Firefly_M4A4,*,#794
uk-GB97_Chimera,*,#794
uk-GB98_T95_FV4201_Chieftain,*,#794
usa-A01_T1_Cunningham,*,#794
usa-A01_T1_Cunningham_bot,*,#794
usa-A02_M2_lt,*,#794
usa-A03_M3_Stuart,*,#794
usa-A03_M3_Stuart_bootcamp,*,#794
usa-A05_M4_Sherman,*,#794
usa-A05_M4_Sherman_IGR,*,#794
usa-A06_M4A3E8_Sherman,*,#794
usa-A06_M4A3E8_Sherman_training,*,#794
usa-A07_T20,*,#794
usa-A08_T23,*,#794
usa-A09_T1_hvy,*,#794
usa-A10_M6,*,#794
usa-A100_T49,*,#794
usa-A103_T71E1,*,#794
usa-A103_T71E1_IGR,*,#794
usa-A104_M4A3E8A,*,#794
usa-A106_M48A2_120,*,#794
usa-A11_T29,*,#794
usa-A11_T29_IGR,*,#794
usa-A111_T25_Pilot,*,#794
usa-A112_T71E2,*,#794
usa-A112_T71E2R,*,#794
usa-A115_Chrysler_K,*,#794
usa-A115_Chrysler_K_GF,*,#794
usa-A116_XM551,*,#794
usa-A117_T26E5,*,#794
usa-A117_T26E5_FL,*,#794
usa-A117_T26E5_Patriot,*,#794
usa-A118_M4_Thunderbolt,*,#794
usa-A12_T32,*,#794
usa-A12_T32_FL,*,#794
usa-A120_M48A5,*,#794
usa-A120_M48A5_IGR,*,#794
usa-A121_M26_Cologne,*,#794
usa-A123_T78,*,#794
usa-A124_T54E2,*,#794
usa-A125_AEP_1,*,#794
usa-A126_PzVI_Tiger_II_capt,*,#794
usa-A127_TL_1_LPC,*,#794
usa-A128_concept_1b,*,#794
usa-A129_T6_medium,*,#794
usa-A13_T34_hvy,*,#794
usa-A13_T34_hvy_BF,*,#794
usa-A13_T34_hvy_FL,*,#794
usa-A13_T34_hvy_IGR,*,#794
usa-A130_Super_Hellcat,*,#794
usa-A132_T77,*,#794
usa-A134_M24E2_SuperChaffee,*,#794
usa-A136_T42,*,#794
usa-A14_T30,*,#794
usa-A19_T2_lt,*,#794
usa-A21_T14,*,#794
usa-A22_M5_Stuart,*,#794
usa-A22_M5_Stuart_bootcamp,*,#794
usa-A23_M7_med,*,#794
usa-A24_T2_med,*,#794
usa-A24_T2_med_bot,*,#794
usa-A25_M2_med,*,#794
usa-A25_M2_med_bootcamp,*,#794
usa-A30_M10_Wolverine,*,#794
usa-A31_M36_Slagger,*,#794
usa-A33_MTLS-1G14,*,#794
usa-A34_M24_Chaffee,*,#794
usa-A35_Pershing,*,#794
usa-A35_Pershing_IGR,*,#794
usa-A36_Sherman_Jumbo,*,#794
usa-A36_Sherman_Jumbo_bootcamp,*,#794
usa-A36_Sherman_Jumbo_IGR,*,#794
usa-A41_M18_Hellcat,*,#794
usa-A43_M22_Locust,*,#794
usa-A44_M4A2E4,*,#794
usa-A45_M6A2E1,*,#794
usa-A57_M8A1,*,#794
usa-A58_T67,*,#794
usa-A58_T67_IGR,*,#794
usa-A62_Ram-II,*,#794
usa-A63_M46_Patton,*,#794
usa-A63_M46_Patton_KR,*,#794
usa-A66_M103,*,#794
usa-A67_T57_58,*,#794
usa-A69_T110E5,*,#794
usa-A69_T110E5_bob,*,#794
usa-A71_T21,*,#794
usa-A72_T25_2,*,#794
usa-A72_T25_2_SH,*,#794
usa-A74_T1_E6,*,#794
usa-A78_M4_Improved,*,#794
usa-A80_T26_E4_SuperPershing,*,#794
usa-A80_T26_E4_SuperPershing_FL,*,#794
usa-A81_T95_E2,*,#794
usa-A86_T23E3,*,#794
usa-A89_T54E1,*,#794
usa-A90_T69,*,#794
usa-A90_T69_IGR,*,#794
usa-A92_M60,*,#794
usa-A93_T7_Combat_Car,*,#794
usa-A94_T37,*,#794
usa-A95_T95_E6,*,#794
usa-A97_M41_Bulldog,*,#794
usa-A99_T92_LT,*,#794
ussr-Observer,*,#794
ussr-R01_IS,*,#794
ussr-R03_BT-7,*,#794
ussr-R03_BT-7_bootcamp,*,#794
ussr-R04_T-34,*,#794
ussr-R05_KV,*,#794
ussr-R06_T-28,*,#794
ussr-R06_T-28_bootcamp,*,#794
ussr-R07_T-34-85,*,#794
ussr-R07_T-34-85_bootcamp,*,#794
ussr-R07_T-34-85_training,*,#794
ussr-R08_BT-2,*,#794
ussr-R08_BT-2_bootcamp,*,#794
ussr-R09_T-26,*,#794
ussr-R09_T-26_bot,*,#794
ussr-R101_MT25,*,#794
ussr-R105_BT_7A,*,#794
ussr-R106_KV85,*,#794
ussr-R106_KV85_IGR,*,#794
ussr-R107_LTB,*,#794
ussr-R108_T34_85M,*,#794
ussr-R109_T54S,*,#794
ussr-R11_MS-1,*,#794
ussr-R11_MS-1_bot,*,#794
ussr-R110_Object_260,*,#794
ussr-R112_T54_45,*,#794
ussr-R112_T54_45_FL,*,#794
ussr-R113_Object_730,*,#794
ussr-R114_Object_244,*,#794
ussr-R115_IS-3_auto,*,#794
ussr-R115_IS-3_auto_test,*,#794
ussr-R117_T34_85_Rudy,*,#794
ussr-R118_T28_F30,*,#794
ussr-R119_Object_777,*,#794
ussr-R119_Object_777C,*,#794
ussr-R12_A-20,*,#794
ussr-R120_T22SR_A22,*,#794
ussr-R122_T44_100,*,#794
ussr-R122_T44_100B,*,#794
ussr-R123_Kirovets_1,*,#794
ussr-R125_T_45,*,#794
ussr-R126_Object_730_5,*,#794
ussr-R127_T44_100_K,*,#794
ussr-R127_T44_100_M,*,#794
ussr-R127_T44_100_P,*,#794
ussr-R127_T44_100_U,*,#794
ussr-R128_KV4_Kreslavskiy,*,#794
ussr-R129_Object_257,*,#794
ussr-R13_KV-1s,*,#794
ussr-R131_Tank_Gavalov,*,#794
ussr-R132_VNII_100LT,*,#794
ussr-R133_KV_122,*,#794
ussr-R134_Object_252K,*,#794
ussr-R134_Object_252U,*,#794
ussr-R135_T_103,*,#794
ussr-R139_IS_M,*,#794
ussr-R140_M4_Loza,*,#794
ussr-R143_T_29,*,#794
ussr-R145_Object_705_A,*,#794
ussr-R146_STG,*,#794
ussr-R146_STG_Tday,*,#794
ussr-R148_Object_430_U,*,#794
ussr-R151_Object_257_2,*,#794
ussr-R152_KV2_W,*,#794
ussr-R153_Object_705,*,#794
ussr-R154_T_34E_1943,*,#794
ussr-R155_Object_277,*,#794
ussr-R155_Object_277_bob,*,#794
ussr-R156_IS_2M,*,#794
ussr-R157_Object_279R,*,#794
ussr-R158_LT_432,*,#794
ussr-R160_T_50_2,*,#794
ussr-R161_T_116,*,#794
ussr-R165_Object_703_II,*,#794
ussr-R165_Object_703_II_2,*,#794
ussr-R169_ST_II,*,#794
ussr-R170_IS_2_II,*,#794
ussr-R171_IS_3_II,*,#794
ussr-R172_Object_752,*,#794
ussr-R173_K_91_2,*,#794
ussr-R174_BT-5,*,#794
ussr-R175_IS_2_screen,*,#794
ussr-R178_Object_780,*,#794
ussr-R180_Object_274_A,*,#794
ussr-R19_IS-3,*,#794
ussr-R19_IS-3_IGR,*,#794
ussr-R20_T-44,*,#794
ussr-R20_T-44_FL,*,#794
ussr-R20_T-44_IGR,*,#794
ussr-R22_T-46,*,#794
ussr-R22_T-46_bootcamp,*,#794
ussr-R23_T-43,*,#794
ussr-R31_Valentine_LL,*,#794
ussr-R31_Valentine_LL_IGR,*,#794
ussr-R32_Matilda_II_LL,*,#794
ussr-R33_Churchill_LL,*,#794
ussr-R34_BT-SV,*,#794
ussr-R38_KV-220,*,#794
ussr-R38_KV-220_beta,*,#794
ussr-R39_KV-3,*,#794
ussr-R40_T-54,*,#794
ussr-R41_T-50,*,#794
ussr-R42_T-60,*,#794
ussr-R43_T-70,*,#794
ussr-R43_T-70_bootcamp,*,#794
ussr-R44_T80,*,#794
ussr-R45_IS-7,*,#794
ussr-R45_IS-7_fallout,*,#794
ussr-R45_IS-7_IGR,*,#794
ussr-R46_KV-13,*,#794
ussr-R46_KV-13_SH,*,#794
ussr-R54_KV-5,*,#794
ussr-R54_KV-5_IGR,*,#794
ussr-R56_T-127,*,#794
ussr-R57_A43,*,#794
ussr-R59_A44,*,#794
ussr-R61_Object252,*,#794
ussr-R61_Object252_BF,*,#794
ussr-R61_Object252_FL,*,#794
ussr-R63_ST_I,*,#794
ussr-R66_SU-26,*,#794
ussr-R67_M3_LL,*,#794
ussr-R68_A-32,*,#794
ussr-R70_T_50_2,*,#794
ussr-R71_IS_2B,*,#794
ussr-R72_T150,*,#794
ussr-R73_KV4,*,#794
ussr-R77_KV2,*,#794
ussr-R77_KV2_IGR,*,#794
ussr-R80_KV1,*,#794
ussr-R81_IS8,*,#794
ussr-R84_Tetrarch_LL,*,#794
ussr-R86_LTP,*,#794
ussr-R86_LTP_bootcamp,*,#794
ussr-R87_T62A,*,#794
ussr-R87_T62A_fallout,*,#794
ussr-R90_IS_4M,*,#794
ussr-R95_Object_907,*,#794
ussr-R95_Object_907A,*,#794
ussr-R96_Object_430,*,#794
ussr-R96_Object_430B,*,#794
ussr-R97_Object_140,*,#794
ussr-R98_T44_85,*,#794
ussr-R98_T44_85M,*,#794
ussr-R99_T44_122,*,#794
