WOT-DATA,2
{{ID}},MaxDamage,MaxPenetration,MaxPenetrationDamage,TopGunReloadTime
{{EN}},Damage using the best gun/shell (except premium shells).,Penetration using the best gun/shell (except premium shells).,Damage using the most penetrating gun/shell (except premium shells).,Top gun reload time.
{{RU}},Урон лучшей пушкой/снарядом (кроме голды).,Пробитие лучшей пушкой/снарядом (кроме голды).,Урон пушкой/снарядом с лучшим пробитием (кроме голды).,Время перезарядки топового орудия.
china-Ch39_WZ120_1G_FT_FL,530,310,440,9.8,#1167
china-Ch40_WZ120G_FT,660,340,560,11.9,#1167
china-Ch41_WZ_111_5A,640,340,490,11.2,#1167
china-Ch41_WZ_111_5A_bob,640,340,490,11.2,#1167
china-Ch41_WZ_111_QL,640,340,490,11.2,#1167
china-Ch42_WalkerBulldog_M41D,260,227,170,4.6,#1167
china-Ch43_WZ_122_2,515,299,400,17.5,#1167
china-Ch44_114_SP2,840,329,650,14.4,#1167
china-Ch45_WZ_114,660,311,530,20,#1167
china-Ch46_113_140,420,265,320,10,#1167
czech-Cz01_Skoda_T40,270,200,220,6.9,#1167
czech-Cz02_TVP_T50,420,310,320,22,#1167
czech-Cz03_LT_vz35,45,74,40,2.6,#1167
czech-Cz04_T50_51,420,310,320,25,#1167
czech-Cz05_T34_100,330,250,250,8.5,#1167
czech-Cz06_Kolohousenka,65,70,50,3.1,#1167
czech-Cz07_TVP_46,420,250,250,11,#1167
czech-Cz08_T_25,175,185,110,8,#1167
czech-Cz09_T_24,175,185,110,5.3,#1167
czech-Cz10_LT_vz38,45,115,40,5,#1167
czech-Cz11_V_8_H,75,132,60,2.5,#1167
czech-Cz13_T_27,295,242,240,24,#1167
czech-Cz14_Skoda_T-56,640,248,460,25,#1167
czech-Cz15_Skoda_T-45_Prem,270,250,220,7.7,#1167
czech-Cz16_TNH_T_vz51,530,294,440,27,#1167
czech-Cz17_Vz_55,640,306,490,22,#1167
czech-Cz18_TNH_105_1000,420,252,320,10,#1167
czech-Cz19_Vz_44_1,420,250,250,12.1,#1167
czech-Cz20_ShPTK_TVP_100_mm,420,330,250,6,#1167
france-F01_RenaultFT,36,46,30,5.8,#1167
france-F01_RenaultFT_bot,5,29,5,2.5,#1167
france-F02_D1,62,68,27,2.5,#1167
france-F03_D2,70,98,55,2.6,#1167
france-F04_B1,70,98,55,2.1,#1167
france-F04_B1_bootcamp,62,46,50,2.3,#1167
france-F05_BDR_G1B,320,175,240,8.8,#1167
france-F06_ARL_44,360,259,240,10,#1167
france-F07_AMX_M4_1945,360,259,240,8.6,#1167
france-F08_AMX_50_100,400,263,300,50,#1167
france-F08_AMX_50_100_IGR,400,263,300,50,#1167
france-F09_AMX_50_120,515,325,400,35,#1167
france-F10_AMX_50B,515,325,400,30,#1167
france-F10_AMX_50B_fallout,515,325,400,30,#1167
france-F100_Panhard_EBR_90,320,230,240,7.8,#1167
france-F106_Panhard_EBR_75_Mle1954,260,220,175,9.5,#1167
france-F107_Hotchkiss_EBR,260,190,170,6.4,#1167
france-F108_Panhard_EBR_105,500,240,390,12,#1167
france-F109_AMD_Panhard_178B,175,160,110,4.2,#1167
france-F11_Renault_G1R,410,129,110,10,#1167
france-F110_Lynx_6x6,320,223,240,8.23,#1167
france-F111_AM39_Gendron_Somua,27,68,27,2.1,#1167
france-F112_M10_RBFM,185,170,115,3.1,#1167
france-F113_Bretagne_Panther,175,194,135,4.2,#1167
france-F114_Projet_4_1,480,330,390,40,#1167
france-F115_Lorraine_50t,515,308,400,14,#1167
france-F116_Bat_Chatillon_Bourrasque,440,240,360,22,#1167
france-F117_Alt_Proto_AMX_30,400,263,300,10,#1167
france-F12_Hotchkiss_H35,45,68,27,1.7,#1167
france-F13_AMX38,70,79,55,3.2,#1167
france-F14_AMX40,175,92,110,6.2,#1167
france-F15_AMX_12t,175,202,135,20,#1167
france-F16_AMX_13_75,175,202,135,14,#1167
france-F17_AMX_13_90,320,248,240,23,#1167
france-F17_AMX_13_90_IGR,320,248,240,23,#1167
france-F18_Bat_Chatillon25t,480,330,390,40,#1167
france-F18_Bat_Chatillon25t_IGR,480,330,390,40,#1167
france-F19_Lorraine40t,400,263,300,36,#1167
france-F20_RenaultBS,165,19,165,7.8,#1167
france-F21_Lorraine39_L_AM,410,27,410,20.5,#1167
france-F22_AMX_105AM,445,30,445,14,#1167
france-F23_AMX_13F3AM,770,194,420,31.9,#1167
france-F23_AMX_13F3AM_MapsTraining_Dummy_SPG_2,350,39,350,15,#1167
france-F24_Lorraine155_50,770,230,420,29.8,#1167
france-F25_Lorraine155_51,830,268,460,30,#1167
france-F27_FCM_36Pak40,175,126,110,3.77,#1167
france-F28_105_leFH18B2,410,104,350,9.3,#1167
france-F28_105_leFH18B2_IGR,410,104,350,9.3,#1167
france-F30_RenaultFT_AC,70,98,55,2.3,#1167
france-F32_Somua_Sau_40,410,129,110,8.5,#1167
france-F33_S_35CA,320,239,150,8.4,#1167
france-F33_S_35CA_IGR,320,175,240,8.4,#1167
france-F34_ARL_V39,360,259,240,9,#1167
france-F35_AMX_AC_Mle1946,400,263,300,10,#1167
france-F36_AMX_AC_Mle1948,515,325,400,34,#1167
france-F36_AMX_AC_Mle1948_IGR,515,325,400,10.4,#1167
france-F37_AMX50_Foch,515,325,400,34,#1167
france-F38_Bat_Chatillon155_58,830,310,460,52,#1167
france-F42_AMR_35,27,68,27,1.7,#1167
france-F43_AMC_35_SH,550,290,250,15,#1167
france-F44_Somua_S35,70,98,55,2.9,#1167
france-F49_RenaultR35,45,68,27,2.3,#1167
france-F50_FCM36_20t,45,68,27,2.3,#1167
france-F52_RenaultUE57,75,180,75,2.8,#1167
france-F62_ELC_AMX,320,150,240,14,#1167
france-F62_ELC_AMX_IGR,320,150,240,14,#1167
france-F64_AMX_50Fosh_155,1100,395,750,50,#1167
france-F64_AMX_50Fosh_B,515,325,400,38,#1167
france-F65_FCM_50t,320,259,240,6.8,#1167
france-F66_AMX_Ob_Am105,445,30,445,16,#1167
france-F67_Bat_Chatillon155_55,830,310,460,30,#1167
france-F68_AMX_Chasseur_de_char_46,320,259,240,7.3,#1167
france-F69_AMX13_57_100,90,195,90,16,#1167
france-F69_AMX13_57_100_GrandFinal,90,195,90,16,#1167
france-F70_SARL42,175,129,110,5.4,#1167
france-F71_AMX_30_prototype,480,300,390,8.7,#1167
france-F72_AMX_30,480,300,390,7.8,#1167
france-F73_M4A1_Revalorise,480,250,390,12.8,#1167
france-F73_M4A1_Revalorise_FL,480,250,390,12.8,#1167
france-F74_AMX_M4_1949,400,263,300,10.3,#1167
france-F74_AMX_M4_1949_FL,400,263,300,10.3,#1167
france-F74_AMX_M4_1949_Liberte,400,263,300,10.3,#1167
france-F75_Char_de_25t,400,263,300,45,#1167
france-F81_Char_de_65t,515,263,300,13.8,#1167
france-F82_AMX_M4_Mle1949_Ter,640,315,400,15.8,#1167
france-F83_AMX_M4_Mle1949_Bis,610,315,400,13.3,#1167
france-F83_AMX_M4_Mle1949_Bis_FL,515,315,400,11.2,#1167
france-F84_Somua_SM,400,263,300,37,#1167
france-F85_M4A1_FL10,175,186,135,18,#1167
france-F87_Batignolles-Chatillon_12t,260,210,170,20,#1167
france-F88_AMX_13_105,480,280,390,27,#1167
france-F89_Canon_dassaut_de_105,480,310,390,11.5,#1167
france-F97_ELC_EVEN_90,270,215,220,30,#1167
france-F97_ELC_EVEN_90_FL,270,215,220,30,#1167
germany-Env_Artillery,950,85,950,31.3,#1167
germany-G00_Bomber_SH,32,51,32,3.0,#1167
germany-G02_Hummel,730,188,400,31.1,#1167
germany-G03_PzV_Panther,410,244,135,4,#1167
germany-G03_PzV_Panther_bootcamp,175,194,135,4.2,#1167
germany-G03_PzV_Panther_IGR,175,244,135,4,#1167
germany-G03_PzV_Panther_training,160,120,160,5,#1167
germany-G04_PzVI_Tiger_I,410,237,280,7.8,#1167
germany-G04_PzVI_Tiger_I_IGR,295,237,240,6.7,#1167
germany-G04_PzVI_Tiger_I_MapsTraining_Player_HT_2,280,203,280,6.2,#1167
germany-G04_PzVI_Tiger_IA,270,194,220,4.7,#1167
germany-G05_StuG_40_AusfG,410,194,135,4.5,#1167
germany-G05_StuG_40_AusfG_IGR,175,194,135,4.5,#1167
germany-G06_PzII,13,51,11,3.9,#1167
germany-G06_PzII_bot,6,23,6,4.3,#1167
germany-G07_Pz35t,45,74,40,3.9,#1167
germany-G08_Pz38t,75,115,60,2.5,#1167
germany-G08_Pz38t_bootcamp,45,74,40,2.3,#1167
germany-G09_Hetzer,410,158,110,8.6,#1167
germany-G09_Hetzer_MapsTraining_Dummy_ATSPG_1,110,145,110,3.9,#1167
germany-G10_PzIII_AusfJ,175,130,70,2.5,#1167
germany-G10_PzIII_AusfJ_training,42,74,36,2.3,#1167
germany-G100_Gtraktor_Krupp,175,87,110,5.5,#1167
germany-G101_StuG_III,410,158,110,9,#1167
germany-G102_Pz_III,90,96,70,2.5,#1167
germany-G102_Pz_III_bootcamp,42,74,36,2.3,#1167
germany-G103_RU_251,320,250,240,7,#1167
germany-G104_Stug_IV,175,158,110,3.7,#1167
germany-G105_T-55_NVA_DDR,420,330,320,7.7,#1167
germany-G106_PzKpfwPanther_AusfF,370,237,280,6.9,#1167
germany-G107_PzKpfwIII_AusfK,175,139,110,4,#1167
germany-G108_PzKpfwII_AusfD,11,46,11,4.2,#1167
germany-G109_Steyr_WT,295,237,240,7.2,#1167
germany-G11_Bison_I,450,98,300,22.8,#1167
germany-G110_Typ_205,630,311,490,15,#1167
germany-G112_KanonenJagdPanzer,320,250,240,6.3,#1167
germany-G112_KanonenJagdPanzer_105,480,330,390,12,#1167
germany-G113_SP_I_C,270,210,220,9,#1167
germany-G114_Rheinmetall_Skorpian,630,311,490,12.2,#1167
germany-G114_Skorpian,630,311,490,12.2,#1167
germany-G115_Typ_205_4_Jun,630,250,490,17,#1167
germany-G115_Typ_205B,630,260,440,15,#1167
germany-G116_Turan_III_prot,175,160,110,4,#1167
germany-G117_Toldi_III,60,80,45,4,#1167
germany-G117_Toldi_III_bootcamp,60,80,45,4,#1167
germany-G118_VK4503,295,237,240,8.4,#1167
germany-G119_Panzer58,330,259,250,8,#1167
germany-G119_Panzer58_BF,330,259,250,8,#1167
germany-G119_Panzer58_FL,330,259,250,8,#1167
germany-G119_Pz58_Mutz,330,259,250,8,#1167
germany-G12_Ltraktor,42,74,36,3.4,#1167
germany-G12_Ltraktor_bot,5,40,5,2.3,#1167
germany-G120_M41_90,320,250,240,6.6,#1167
germany-G120_M41_90_GrandFinal,320,250,240,6.6,#1167
germany-G121_Grille_15_L63,950,334,750,18,#1167
germany-G122_VK6501H,175,124,110,4.4,#1167
germany-G125_Spz_57_Rh,420,280,320,9,#1167
germany-G126_HWK_12,320,250,240,7.7,#1167
germany-G13_VK3001H,410,221,135,5,#1167
germany-G134_PzKpfw_VII,700,315,560,16,#1167
germany-G136_Tiger_131,270,194,220,7.0,#1167
germany-G137_PzVI_Tiger_217,270,194,220,7.0,#1167
germany-G138_VK168_02,630,260,440,15,#1167
germany-G138_VK168_02_Mauerbrecher,630,260,440,15,#1167
germany-G139_MKA,65,78,55,3.8,#1167
germany-G140_HWK_30,320,250,240,7.2,#1167
germany-G141_VK7501K,630,263,490,17.8,#1167
germany-G142_M48RPz,320,255,240,7.0,#1167
germany-G143_E75_TS,440,282,360,11.3,#1167
germany-G144_Kpz_50t,420,310,320,8.4,#1167
germany-G147_Kunze_Panzer,480,300,390,9.3,#1167
germany-G15_VK3601H,410,221,135,6.9,#1167
germany-G151_Pz_Sfl_IC,90,130,70,10,#1167
germany-G154_Kpz_07_RH,320,255,200,5,#1167
germany-G158_VK2801_105_SPXXI,410,104,350,9,#1167
germany-G16_PzVIB_Tiger_II,440,285,360,10.4,#1167
germany-G16_PzVIB_Tiger_II_F,295,237,240,8.2,#1167
germany-G16_PzVIB_Tiger_II_IGR,420,285,320,10.4,#1167
germany-G16_PzVIB_Tiger_II_training,295,237,240,8.2,#1167
germany-G160_Pz_Kpfw_35_R_mit_T_26_Turm,65,78,55,3.5,#1167
germany-G161_Pz_Kpfw_M15_38_t,45,74,40,2.4,#1167
germany-G17_JagdPzIV,270,194,135,5.4,#1167
germany-G18_JagdPanther,420,244,320,8.2,#1167
germany-G19_Wespe,410,27,410,20,#1167
germany-G20_Marder_II,175,166,115,4.8,#1167
germany-G21_PanzerJager_I,75,115,60,2.5,#1167
germany-G21_PanzerJager_I_bootcamp,45,74,40,2.1,#1167
germany-G22_Sturmpanzer_II,450,98,300,17.4,#1167
germany-G23_Grille,580,154,340,23.5,#1167
germany-G24_VK3002DB,410,194,135,6.4,#1167
germany-G24_VK3002DB_SH,765,290,265,12,#1167
germany-G25_PzII_Luchs,90,130,70,18,#1167
germany-G26_VK1602,90,130,70,2.3,#1167
germany-G27_VK3001P,410,194,220,6.9,#1167
germany-G28_PzIII_IV,175,158,110,4,#1167
germany-G32_PzV_PzIV,175,158,110,3.8,#1167
germany-G32_PzV_PzIV_ausf_Alfa,175,158,110,3.8,#1167
germany-G32_PzV_PzIV_ausf_Alfa_CN,175,194,135,3.8,#1167
germany-G32_PzV_PzIV_CN,175,194,135,3.8,#1167
germany-G33_H39_captured,45,64,40,2.28571428571429,#1167
germany-G34_S35_captured,62,90,52,2.17142857142857,#1167
germany-G35_B-1bis_captured,62,90,52,2.17142857142857,#1167
germany-G36_PzII_J,11,46,11,3,#1167
germany-G37_Ferdinand,630,311,490,11.7,#1167
germany-G37_Ferdinand_FL,630,311,490,11.7,#1167
germany-G37_Ferdinand_IGR,630,311,490,11.7,#1167
germany-G39_Marder_III,175,166,115,3.8,#1167
germany-G40_Nashorn,295,237,240,6.3,#1167
germany-G40_Nashorn_MapsTraining_Dummy_ATSPG_2,180,160,180,6.3,#1167
germany-G41_DickerMax,380,227,300,9.3,#1167
germany-G42_Maus,630,311,490,13.3,#1167
germany-G42_Maus_IGR,630,311,490,12,#1167
germany-G43_Sturer_Emil,630,231,490,13.8,#1167
germany-G44_JagdTiger,700,352,560,11.4,#1167
germany-G44_JagdTiger_FL,700,352,560,11.4,#1167
germany-G44_JagdTigerH,630,311,490,13,#1167
germany-G45_G_Tiger,1200,296,640,42,#1167
germany-G46_T-25,175,167,110,4.28571428571429,#1167
germany-G48_E-25,175,194,135,3,#1167
germany-G48_E-25_IGR,175,194,135,3,#1167
germany-G49_G_Panther,730,224,400,27,#1167
germany-G50_T-15,45,74,40,2.28571428571429,#1167
germany-G51_Lowe,420,294,320,12.0,#1167
germany-G51_Lowe_FL,420,294,320,12.0,#1167
germany-G52_Pz38_NA,90,130,70,2.5,#1167
germany-G53_PzI,11,47,11,3.1,#1167
germany-G54_E-50,510,270,390,9.6,#1167
germany-G54_E-50_FL,510,270,390,9.6,#1167
germany-G55_E-75,670,311,530,15.7,#1167
germany-G56_E-100,950,334,750,20,#1167
germany-G57_PzVI_Tiger_P,410,237,240,8.6,#1167
germany-G58_VK4502P,630,311,490,15.7,#1167
germany-G58_VK4502P7,295,237,240,7.7,#1167
germany-G61_G_E,1200,372,640,39,#1167
germany-G63_PzI_ausf_C,11,51,11,8,#1167
germany-G64_Panther_II,410,261,280,8,#1167
germany-G64_Panther_II_IGR,295,237,240,7.3,#1167
germany-G65_JagdTiger_SdKfz_185,295,237,240,5.1,#1167
germany-G65_JagdTiger_SdKfz_185_IGR,295,237,240,5.4,#1167
germany-G66_VK2801,175,158,110,4,#1167
germany-G67_VK4502A,420,244,320,10.1,#1167
germany-G70_PzIV_Hydro,175,158,110,4.3,#1167
germany-G71_JagdPantherII,630,311,490,11.7,#1167
germany-G72_JagdPz_E100,1400,420,1050,25.7,#1167
germany-G73_E50_Ausf_M,510,330,390,9.6,#1167
germany-G76_Pz_Sfl_IVc,295,237,240,6.8,#1167
germany-G77_PzIV_Schmalturm,175,194,135,4.2,#1167
germany-G78_Panther_M10,175,194,135,4,#1167
germany-G79_Pz_IV_AusfGH,110,43,110,4.3,#1167
germany-G80_Pz_IV_AusfD,175,139,110,4,#1167
germany-G80_Pz_IV_AusfD_bootcamp,90,96,70,2.1,#1167
germany-G81_Pz_IV_AusfH,410,158,110,8,#1167
germany-G81_Pz_IV_AusfH_GuP,175,158,110,4,#1167
germany-G82_Pz_II_AusfG,40,110,30,15,#1167
germany-G83_Pz_IV_AusfA,175,96,70,4,#1167
germany-G85_Auf_Panther,135,205,135,5.2,#1167
germany-G85_Aufklarungspanzer_V,280,221,165,4.9,#1167
germany-G86_VK2001DB,175,130,70,2.5,#1167
germany-G87_VK3002DB_V1,175,194,135,4.2,#1167
germany-G88_Indien_Panzer,330,259,250,7.2,#1167
germany-G89_Leopard1,510,323,420,9.3,#1167
germany-G89_Leopard1_bob,510,323,420,9.3,#1167
germany-G90_DW_II,175,130,70,2.4,#1167
germany-G90_DW_II_MapsTraining_Dummy_HT_1,100,145,100,4,#1167
germany-G91_Pro_Ag_A,510,323,420,10.6,#1167
germany-G92_VK7201,950,350,750,20,#1167
germany-G93_GW_Mk_VIe,410,27,410,27,#1167
germany-G94_GW_Tiger_P,1200,296,640,46,#1167
germany-G95_Pz_Sfl_IVb,410,27,410,15.5,#1167
germany-G96_VK3002M,175,194,135,4.2,#1167
germany-G97_Waffentrager_IV,950,352,560,17,#1167
germany-G98_Waffentrager_E100,630,311,490,58,#1167
germany-G98_Waffentrager_E100_P,700,352,560,58,#1167
germany-G98_Waffentrager_E100_WO,700,352,560,58,#1167
germany-G99_RhB_Waffentrager,950,334,750,20,#1167
italy-It03_M15_42,70,95,50,2.2,#1167
italy-It04_Fiat_3000,45,60,40,2.8,#1167
italy-It05_Carro_L6_40,45,60,40,3.5,#1167
italy-It06_M14_41,70,75,50,2.6,#1167
italy-It07_P26_40,175,130,110,4.2,#1167
italy-It08_Progetto_M40_mod_65,440,330,360,15.4,#1167
italy-It08_Progetto_M40_mod_65_bob,440,330,360,15.4,#1167
italy-It09_P43_ter,320,195,240,8,#1167
italy-It10_P43_bis,320,180,240,7.5,#1167
italy-It11_P43,175,146,110,4.1,#1167
italy-It12_Prototipo_Standard_B,440,330,360,15.6,#1167
italy-It13_Progetto_M35_mod_46,320,259,240,9.6,#1167
italy-It14_P44_Pantera,320,259,240,10.4,#1167
italy-It15_Rinoceronte,640,325,490,17,#1167
italy-It16_Carro_d_assalto_P88,320,220,240,9,#1167
italy-It17_Progetto_CC55_mod_54,420,242,320,14,#1167
italy-It18_Progetto_C45_mod_71,440,270,360,13,#1167
italy-It19_Progetto_C50_mod_66,515,303,400,14,#1167
italy-It20_Carro_Combattimento_45t,515,320,400,15.4,#1167
japan-J01_NC27,55,49,45,3.4,#1167
japan-J01_NC27_bot,5,29,5,2.5,#1167
japan-J02_Te_Ke,60,60,45,3.0,#1167
japan-J03_Ha_Go,95,60,45,3.4,#1167
japan-J04_Ke_Ni,65,73,50,2.3,#1167
japan-J04_Ke_Ni_bootcamp,60,69,45,2.1,#1167
japan-J05_Ke_Ni_B,60,69,45,2.1,#1167
japan-J06_Ke_Ho,100,131,75,2.4,#1167
japan-J07_Chi_Ha,95,122,70,3,#1167
japan-J08_Chi_Nu,175,155,125,5,#1167
japan-J09_Chi_He,175,131,75,4,#1167
japan-J10_Chi_To,175,186,130,3.8,#1167
japan-J11_Chi_Ri,175,186,130,10,#1167
japan-J11_Chi_Ri_IGR,175,186,130,10,#1167
japan-J12_Chi_Nu_Kai,175,155,125,5,#1167
japan-J13_STA_1,320,275,240,6.5,#1167
japan-J13_STA_1_IGR,320,275,240,7.5,#1167
japan-J14_Type_61,440,330,360,8.2,#1167
japan-J15_Chi_Ni,95,55,75,3.4,#1167
japan-J16_ST_B1,440,330,360,7.1,#1167
japan-J16_ST_B1_IGR,440,330,360,8,#1167
japan-J18_STA_2_3,320,275,240,7.5,#1167
japan-J19_Tiger_I_Jpn,270,194,220,7.0,#1167
japan-J20_Type_2605,900,290,600,17.1,#1167
japan-J21_Type_91,160,122,70,2.1,#1167
japan-J22_Type_95,175,100,110,3.3,#1167
japan-J22_Type_95_bootcamp,160,90,100,3.3,#1167
japan-J23_Mi_To,440,155,125,10.5,#1167
japan-J24_Mi_To_130_tons,890,201,300,26,#1167
japan-J25_Type_4,900,290,600,19.8,#1167
japan-J26_Type_89,95,55,75,2.3,#1167
japan-J27_O_I_120,890,253,330,9.3,#1167
japan-J28_O_I_100,890,215,330,12,#1167
japan-J29_Nameless,360,260,300,9,#1167
japan-J30_Edelweiss,295,245,240,7.5,#1167
poland-Pl01_TKS_20mm,11,55,11,6.2,#1167
poland-Pl03_PzV_Poland,175,194,135,4.2,#1167
poland-Pl05_50TP_Tyszkiewicza,700,303,560,16,#1167
poland-Pl06_10TP,90,72,75,4.5,#1167
poland-Pl07_14TP,90,92,75,3.9,#1167
poland-Pl08_50TP_prototyp,560,245,440,14.2,#1167
poland-Pl09_7TP,70,71,55,2.8,#1167
poland-Pl10_40TP_Habicha,320,198,240,8.5,#1167
poland-Pl11_45TP_Habicha,420,225,320,11,#1167
poland-Pl12_25TP_KSUST_II,175,175,135,5,#1167
poland-Pl13_53TP_Markowskiego,550,245,420,12.7,#1167
poland-Pl14_4TP,70,70,55,5.2,#1167
poland-Pl15_60TP_Lewandowskiego,950,317,750,19.5,#1167
poland-Pl16_T34_85_Rudy,300,194,180,6,#1167
poland-Pl17_DS_PZlnz,175,175,135,5.8,#1167
poland-Pl18_BUGI,410,198,240,8.3,#1167
poland-Pl19_CS_52_LIS,420,252,320,9.6,#1167
poland-Pl20_CS_44,410,220,300,12.7,#1167
poland-Pl21_CS_63,510,315,390,8.5,#1167
poland-Pl22_CS_59,510,293,390,8.8,#1167
poland-Pl23_CS_53,410,290,300,8.6,#1167
sweden-S01_Strv_74_A2,185,190,150,16,#1167
sweden-S02_Strv_M42,185,144,150,6.3,#1167
sweden-S03_Strv_M38,50,78,40,2.35,#1167
sweden-S04_Lago_I,175,138,75,2.65,#1167
sweden-S05_Strv_M21_29,45,44,40,8,#1167
sweden-S06_Ikv_90_Typ_B_Bofors,320,250,240,7.4,#1167
sweden-S07_Strv_74,185,200,150,5.15,#1167
sweden-S08_Ikv_65_Alt_2,320,230,240,9.7,#1167
sweden-S09_L_120_TD,50,78,40,2.3,#1167
sweden-S10_Strv_103_0_Series,480,350,390,8.6,#1167
sweden-S10_Strv_103_0_Series_FL,480,350,390,8.6,#1167
sweden-S11_Strv_103B,480,350,390,7.0,#1167
sweden-S12_Strv_M40,50,98,40,2,#1167
sweden-S13_Leo,410,200,150,11.25,#1167
sweden-S14_Ikv_103,370,140,300,11.1,#1167
sweden-S15_L_60,16,38,12,5,#1167
sweden-S16_Kranvagn,530,300,440,21.5,#1167
sweden-S16_Kranvagn_bob,530,300,440,21.5,#1167
sweden-S17_EMIL_1952_E2,530,300,440,25,#1167
sweden-S18_EMIL_1951_E1,460,242,360,27,#1167
sweden-S19_Sav_M43,370,130,110,9.8,#1167
sweden-S20_Ikv_72,175,120,110,4.8,#1167
sweden-S21_UDES_03,480,330,390,11.7,#1167
sweden-S22_Strv_S1,480,330,390,10.2,#1167
sweden-S22_Strv_S1_FL,480,330,390,10.2,#1167
sweden-S23_Strv_81,280,258,230,7.5,#1167
sweden-S23_Strv_81_sabaton,280,258,230,7.5,#1167
sweden-S25_EMIL_51,460,242,360,30,#1167
sweden-S26_Lansen_C,420,242,320,9.2,#1167
sweden-S27_UDES_16,480,263,390,10.2,#1167
sweden-S28_UDES_15_16,530,310,440,9.4,#1167
sweden-S29_UDES_14_5,460,253,360,11.5,#1167
sweden-S30_UDES_03_Alt_3,460,284,360,9.3,#1167
sweden-S31_Strv_K,480,310,390,12,#1167
sweden-S32_Bofors_Tornvagn,515,297,400,15,#1167
uk-GB01_Medium_Mark_I,95,66,50,4.5,#1167
uk-GB01_Medium_Mark_I_bot,8,38,8,5,#1167
uk-GB03_Cruiser_Mk_I,60,65,45,11.5,#1167
uk-GB04_Valentine,100,121,50,5,#1167
uk-GB05_Vickers_Medium_Mk_II,95,72,50,3.6,#1167
uk-GB05_Vickers_Medium_Mk_II_bot,25,38,25,4.2,#1167
uk-GB06_Vickers_Medium_Mk_III,95,121,45,3,#1167
uk-GB07_Matilda,175,145,55,4,#1167
uk-GB08_Churchill_I,175,202,135,4.8,#1167
uk-GB08_Churchill_I_IGR,175,202,135,4.8,#1167
uk-GB09_Churchill_VII,370,208,140,4.3,#1167
uk-GB10_Black_Prince,190,239,150,5,#1167
uk-GB100_Manticore,480,268,390,14,#1167
uk-GB101_FV1066_Senlac,280,223,180,5.5,#1167
uk-GB102_LHMTV,280,258,230,10,#1167
