WOT-DATA,2
{{ID}},Tank
{{EN}},Tank hit points with the top turret.
{{RU}},Прочность танка с топ башней.
france-F88_AMX_13_105,1400,#920
france-F89_Canon_dassaut_de_105,1000,#920
france-F97_ELC_EVEN_90,900,#920
france-F97_ELC_EVEN_90_FL,900,#920
germany-Env_Artillery,300,#920
germany-G00_Bomber_SH,500,#920
germany-G02_Hummel,335,#920
germany-G03_PzV_Panther,1300,#920
germany-G03_PzV_Panther_bootcamp,1200,#920
germany-G03_PzV_Panther_IGR,1300,#920
germany-G03_PzV_Panther_training,480,#920
germany-G04_PzVI_Tiger_I,1500,#920
germany-G04_PzVI_Tiger_I_IGR,1500,#920
germany-G04_PzVI_Tiger_I_MapsTraining_Player_HT_2,1500,#920
germany-G04_PzVI_Tiger_IA,1700,#920
germany-G05_StuG_40_AusfG,460,#920
germany-G05_StuG_40_AusfG_IGR,350,#920
germany-G06_PzII,340,#920
germany-G06_PzII_bot,145,#920
germany-G07_Pz35t,360,#920
germany-G08_Pz38t,445,#920
germany-G08_Pz38t_bootcamp,425,#920
germany-G09_Hetzer,415,#920
germany-G09_Hetzer_MapsTraining_Dummy_ATSPG_1,150,#920
germany-G10_PzIII_AusfJ,540,#920
germany-G10_PzIII_AusfJ_training,310,#920
germany-G100_Gtraktor_Krupp,570,#920
germany-G101_StuG_III,400,#920
germany-G102_Pz_III,425,#920
germany-G102_Pz_III_bootcamp,405,#920
germany-G103_RU_251,1400,#920
germany-G104_Stug_IV,470,#920
germany-G105_T-55_NVA_DDR,1750,#920
germany-G106_PzKpfwPanther_AusfF,1500,#920
germany-G107_PzKpfwIII_AusfK,790,#920
germany-G108_PzKpfwII_AusfD,420,#920
germany-G109_Steyr_WT,800,#920
germany-G11_Bison_I,230,#920
germany-G110_Typ_205,2300,#920
germany-G112_KanonenJagdPanzer,1200,#920
germany-G112_KanonenJagdPanzer_105,1050,#920
germany-G113_SP_I_C,880,#920
germany-G114_Rheinmetall_Skorpian,1150,#920
germany-G114_Skorpian,1150,#920
germany-G115_Typ_205_4_Jun,1700,#920
germany-G115_Typ_205B,1700,#920
germany-G116_Turan_III_prot,750,#920
germany-G117_Toldi_III,410,#920
germany-G117_Toldi_III_bootcamp,410,#920
germany-G118_VK4503,1400,#920
germany-G119_Panzer58,1350,#920
germany-G119_Panzer58_BF,1350,#920
germany-G119_Panzer58_FL,1350,#920
germany-G119_Pz58_Mutz,1350,#920
germany-G12_Ltraktor,280,#920
germany-G12_Ltraktor_bot,110,#920
germany-G120_M41_90,1100,#920
germany-G120_M41_90_GrandFinal,1100,#920
germany-G121_Grille_15_L63,1800,#920
germany-G122_VK6501H,920,#920
germany-G125_Spz_57_Rh,1600,#920
germany-G126_HWK_12,1100,#920
germany-G13_VK3001H,700,#920
germany-G134_PzKpfw_VII,2500,#920
germany-G136_Tiger_131,1060,#920
germany-G137_PzVI_Tiger_217,1060,#920
germany-G138_VK168_02,1700,#920
germany-G138_VK168_02_Mauerbrecher,1700,#920
germany-G139_MKA,400,#920
germany-G140_HWK_30,1150,#920
germany-G141_VK7501K,1600,#920
germany-G142_M48RPz,1500,#920
germany-G143_E75_TS,1500,#920
germany-G144_Kpz_50t,1750,#920
germany-G147_Kunze_Panzer,1600,#920
germany-G15_VK3601H,1200,#920
germany-G151_Pz_Sfl_IC,415,#920
germany-G154_Kpz_07_RH,1350,#920
germany-G158_VK2801_105_SPXXI,680,#920
germany-G16_PzVIB_Tiger_II,1600,#920
germany-G16_PzVIB_Tiger_II_F,1400,#920
germany-G16_PzVIB_Tiger_II_IGR,1600,#920
germany-G16_PzVIB_Tiger_II_training,800,#920
germany-G17_JagdPzIV,670,#920
germany-G18_JagdPanther,850,#920
germany-G19_Wespe,230,#920
germany-G20_Marder_II,295,#920
germany-G21_PanzerJager_I,240,#920
germany-G21_PanzerJager_I_bootcamp,240,#920
germany-G22_Sturmpanzer_II,290,#920
germany-G23_Grille,315,#920
germany-G24_VK3002DB,1250,#920
germany-G24_VK3002DB_SH,2100,#920
germany-G25_PzII_Luchs,520,#920
germany-G26_VK1602,580,#920
germany-G27_VK3001P,1100,#920
germany-G28_PzIII_IV,630,#920
germany-G32_PzV_PzIV,680,#920
germany-G32_PzV_PzIV_ausf_Alfa,680,#920
germany-G32_PzV_PzIV_ausf_Alfa_CN,920,#920
germany-G32_PzV_PzIV_CN,920,#920
germany-G33_H39_captured,320,#920
germany-G34_S35_captured,465,#920
germany-G35_B-1bis_captured,610,#920
germany-G36_PzII_J,465,#920
germany-G37_Ferdinand,1500,#920
germany-G37_Ferdinand_FL,1500,#920
germany-G37_Ferdinand_IGR,1500,#920
germany-G39_Marder_III,415,#920
germany-G40_Nashorn,670,#920
germany-G40_Nashorn_MapsTraining_Dummy_ATSPG_2,300,#920
germany-G41_DickerMax,620,#920
germany-G42_Maus,3000,#920
germany-G42_Maus_IGR,3200,#920
germany-G43_Sturer_Emil,850,#920
germany-G44_JagdTiger,2100,#920
germany-G44_JagdTiger_FL,2100,#920
germany-G44_JagdTigerH,1600,#920
germany-G45_G_Tiger,500,#920
germany-G46_T-25,800,#920
germany-G48_E-25,830,#920
germany-G48_E-25_IGR,830,#920
germany-G49_G_Panther,360,#920
germany-G50_T-15,465,#920
germany-G51_Lowe,1650,#920
germany-G51_Lowe_FL,1650,#920
germany-G52_Pz38_NA,520,#920
germany-G53_PzI,320,#920
germany-G54_E-50,1750,#920
germany-G54_E-50_FL,1750,#920
germany-G55_E-75,1950,#920
germany-G56_E-100,2700,#920
germany-G57_PzVI_Tiger_P,1450,#920
germany-G58_VK4502P,1950,#920
germany-G58_VK4502P7,1500,#920
germany-G61_G_E,550,#920
germany-G63_PzI_ausf_C,410,#920
germany-G64_Panther_II,1500,#920
germany-G64_Panther_II_IGR,1500,#920
germany-G65_JagdTiger_SdKfz_185,1500,#920
germany-G65_JagdTiger_SdKfz_185_IGR,1300,#920
germany-G66_VK2801,680,#920
germany-G67_VK4502A,1570,#920
germany-G70_PzIV_Hydro,720,#920
germany-G71_JagdPantherII,1150,#920
germany-G72_JagdPz_E100,2200,#920
germany-G73_E50_Ausf_M,2050,#920
germany-G76_Pz_Sfl_IVc,460,#920
germany-G77_PzIV_Schmalturm,820,#920
germany-G78_Panther_M10,1300,#920
germany-G79_Pz_IV_AusfGH,550,#920
germany-G80_Pz_IV_AusfD,540,#920
germany-G80_Pz_IV_AusfD_bootcamp,510,#920
germany-G81_Pz_IV_AusfH,630,#920
germany-G81_Pz_IV_AusfH_GuP,630,#920
germany-G82_Pz_II_AusfG,425,#920
germany-G83_Pz_IV_AusfA,480,#920
germany-G85_Auf_Panther,1050,#920
germany-G85_Aufklarungspanzer_V,1100,#920
germany-G86_VK2001DB,540,#920
germany-G87_VK3002DB_V1,860,#920
germany-G88_Indien_Panzer,1300,#920
germany-G89_Leopard1,1850,#920
germany-G89_Leopard1_bob,1850,#920
germany-G90_DW_II,670,#920
germany-G90_DW_II_MapsTraining_Dummy_HT_1,250,#920
germany-G91_Pro_Ag_A,1700,#920
germany-G92_VK7201,2500,#920
germany-G93_GW_Mk_VIe,180,#920
germany-G94_GW_Tiger_P,440,#920
germany-G95_Pz_Sfl_IVb,305,#920
germany-G96_VK3002M,940,#920
germany-G97_Waffentrager_IV,1600,#920
germany-G98_Waffentrager_E100,2000,#920
germany-G98_Waffentrager_E100_P,2000,#920
germany-G99_RhB_Waffentrager,1100,#920
italy-It03_M15_42,465,#920
italy-It04_Fiat_3000,255,#920
italy-It05_Carro_L6_40,340,#920
italy-It06_M14_41,380,#920
italy-It07_P26_40,540,#920
italy-It08_Progetto_M40_mod_65,1900,#920
italy-It08_Progetto_M40_mod_65_bob,1900,#920
italy-It09_P43_ter,1100,#920
italy-It10_P43_bis,830,#920
italy-It11_P43,600,#920
italy-It12_Prototipo_Standard_B,1700,#920
italy-It13_Progetto_M35_mod_46,1400,#920
italy-It14_P44_Pantera,1400,#920
italy-It15_Rinoceronte,2000,#920
italy-It16_Carro_d_assalto_P88,1250,#920
italy-It17_Progetto_CC55_mod_54,1450,#920
italy-It18_Progetto_C45_mod_71,1400,#920
italy-It19_Progetto_C50_mod_66,1850,#920
italy-It20_Carro_Combattimento_45t,1900,#920
japan-J01_NC27,235,#920
japan-J01_NC27_bot,100,#920
japan-J02_Te_Ke,320,#920
japan-J03_Ha_Go,350,#920
japan-J04_Ke_Ni,425,#920
japan-J04_Ke_Ni_bootcamp,405,#920
japan-J05_Ke_Ni_B,465,#920
japan-J06_Ke_Ho,520,#920
japan-J07_Chi_Ha,425,#920
japan-J08_Chi_Nu,630,#920
japan-J09_Chi_He,540,#920
japan-J10_Chi_To,920,#920
japan-J11_Chi_Ri,1250,#920
japan-J11_Chi_Ri_IGR,1250,#920
japan-J12_Chi_Nu_Kai,630,#920
japan-J13_STA_1,1450,#920
japan-J13_STA_1_IGR,1450,#920
japan-J14_Type_61,1750,#920
japan-J15_Chi_Ni,380,#920
japan-J16_ST_B1,2000,#920
japan-J16_ST_B1_IGR,1950,#920
japan-J18_STA_2_3,1420,#920
japan-J19_Tiger_I_Jpn,1060,#920
japan-J20_Type_2605,2900,#920
japan-J21_Type_91,445,#920
japan-J22_Type_95,670,#920
japan-J22_Type_95_bootcamp,670,#920
japan-J23_Mi_To,920,#920
japan-J24_Mi_To_130_tons,1060,#920
japan-J25_Type_4,2050,#920
japan-J26_Type_89,400,#920
japan-J27_O_I_120,1700,#920
japan-J28_O_I_100,1550,#920
japan-J29_Nameless,1600,#920
japan-J30_Edelweiss,1400,#920
poland-Pl01_TKS_20mm,320,#920
poland-Pl03_PzV_Poland,940,#920
poland-Pl05_50TP_Tyszkiewicza,2000,#920
poland-Pl06_10TP,410,#920
poland-Pl07_14TP,550,#920
poland-Pl08_50TP_prototyp,1500,#920
poland-Pl09_7TP,380,#920
poland-Pl10_40TP_Habicha,840,#920
poland-Pl11_45TP_Habicha,1200,#920
poland-Pl12_25TP_KSUST_II,590,#920
poland-Pl13_53TP_Markowskiego,1450,#920
poland-Pl14_4TP,235,#920
poland-Pl15_60TP_Lewandowskiego,2600,#920
poland-Pl16_T34_85_Rudy,810,#920
poland-Pl17_DS_PZlnz,590,#920
poland-Pl18_BUGI,840,#920
poland-Pl19_CS_52_LIS,1300,#920
poland-Pl20_CS_44,1100,#920
poland-Pl21_CS_63,2000,#920
poland-Pl22_CS_59,1800,#920
poland-Pl23_CS_53,1300,#920
sweden-S01_Strv_74_A2,780,#920
sweden-S02_Strv_M42,590,#920
sweden-S03_Strv_M38,340,#920
sweden-S04_Lago_I,540,#920
sweden-S05_Strv_M21_29,280,#920
sweden-S06_Ikv_90_Typ_B_Bofors,800,#920
sweden-S07_Strv_74,840,#920
sweden-S08_Ikv_65_Alt_2,650,#920
sweden-S09_L_120_TD,220,#920
sweden-S10_Strv_103_0_Series,1500,#920
sweden-S10_Strv_103_0_Series_FL,1500,#920
sweden-S11_Strv_103B,1800,#920
sweden-S12_Strv_M40,410,#920
sweden-S13_Leo,1100,#920
sweden-S14_Ikv_103,460,#920
sweden-S15_L_60,360,#920
sweden-S16_Kranvagn,2000,#920
sweden-S16_Kranvagn_bob,2000,#920
sweden-S17_EMIL_1952_E2,1700,#920
sweden-S18_EMIL_1951_E1,1400,#920
sweden-S19_Sav_M43,415,#920
sweden-S20_Ikv_72,265,#920
sweden-S21_UDES_03,1000,#920
sweden-S22_Strv_S1,1000,#920
sweden-S22_Strv_S1_FL,1000,#920
sweden-S23_Strv_81,1450,#920
sweden-S23_Strv_81_sabaton,1450,#920
sweden-S25_EMIL_51,1400,#920
sweden-S26_Lansen_C,1350,#920
sweden-S27_UDES_16,1650,#920
sweden-S28_UDES_15_16,1950,#920
sweden-S29_UDES_14_5,1400,#920
sweden-S30_UDES_03_Alt_3,1600,#920
sweden-S31_Strv_K,1850,#920
uk-GB01_Medium_Mark_I,300,#920
uk-GB01_Medium_Mark_I_bot,130,#920
uk-GB03_Cruiser_Mk_I,255,#920
uk-GB04_Valentine,390,#920
uk-GB05_Vickers_Medium_Mk_II,380,#920
uk-GB05_Vickers_Medium_Mk_II_bot,170,#920
uk-GB06_Vickers_Medium_Mk_III,500,#920
uk-GB07_Matilda,570,#920
uk-GB08_Churchill_I,920,#920
uk-GB08_Churchill_I_IGR,700,#920
uk-GB09_Churchill_VII,1080,#920
uk-GB10_Black_Prince,1450,#920
uk-GB100_Manticore,1400,#920
uk-GB101_FV1066_Senlac,1050,#920
uk-GB102_LHMTV,1050,#920
uk-GB103_GSOR3301_AVR_FS,1250,#920
uk-GB104_GSR_3301_Setter,860,#920
uk-GB105_Black_Prince_2019,1000,#920
uk-GB106_Cobra,100,#920
uk-GB107_Cavalier,610,#920
uk-GB107_Cavalier_SH,1500,#920
uk-GB108_A46,580,#920
uk-GB109_GSOR_1008,1200,#920
uk-GB11_Caernarvon,1600,#920
uk-GB11_Caernarvon_IGR,1600,#920
uk-GB111_Charlemagne,1500,#920
uk-GB12_Conqueror,1950,#920
uk-GB12_Conqueror_FL,1950,#920
uk-GB13_FV215b,2500,#920
uk-GB13_FV215b_IGR,2500,#920
uk-GB14_M2,330,#920
uk-GB15_Stuart_I,445,#920
uk-GB17_Grant_I,490,#920
uk-GB19_Sherman_Firefly,840,#920
uk-GB19_Sherman_Firefly_MapsTraining_Dummy_MT_2,300,#920
uk-GB20_Crusader,680,#920
uk-GB21_Cromwell,840,#920
uk-GB21_Cromwell_IGR,750,#920
uk-GB22_Comet,1150,#920
uk-GB23_Centurion,1450,#920
uk-GB23_Centurion_IGR,1450,#920
uk-GB24_Centurion_Mk3,1720,#920
uk-GB25_Loyd_Gun_Carriage,160,#920
uk-GB26_Birch_Gun,290,#920
uk-GB27_Sexton,250,#920
uk-GB28_Bishop,460,#920
uk-GB29_Crusader_5inch,350,#920
uk-GB30_FV3805,450,#920
uk-GB31_Conqueror_Gun,530,#920
uk-GB32_Tortoise,2000,#920
uk-GB33_Sentinel_AC_I,570,#920
uk-GB35_Sentinel_AC_IV,840,#920
uk-GB37_Valliant,800,#920
uk-GB39_Universal_CarrierQF2,240,#920
uk-GB40_Gun_Carrier_Churchill,730,#920
uk-GB41_Challenger,900,#920
uk-GB42_Valentine_AT,405,#920
uk-GB44_Archer,470,#920
uk-GB45_Achilles_IIC,720,#920
uk-GB48_FV215b_183,2000,#920
uk-GB50_Sherman_III,610,#920
uk-GB51_Excelsior,880,#920
uk-GB52_A45,1500,#920
uk-GB57_Alecto,415,#920
uk-GB58_Cruiser_Mk_III,390,#920
uk-GB59_Cruiser_Mk_IV,520,#920
uk-GB60_Covenanter,540,#920
uk-GB63_TOG_II,1560,#920
uk-GB68_Matilda_Black_Prince,800,#920
uk-GB69_Cruiser_Mk_II,360,#920
uk-GB70_FV4202_105,1950,#920
uk-GB70_N_FV4202_105,1400,#920
uk-GB70_N_FV4202_105_FL,1400,#920
uk-GB71_AT_15A,1050,#920
uk-GB72_AT15,1450,#920
uk-GB72_AT15_IGR,1450,#920
uk-GB73_AT2,590,#920
uk-GB74_AT8,900,#920
uk-GB75_AT7,1250,#920
uk-GB76_Mk_VIC,300,#920
uk-GB77_FV304,315,#920
uk-GB77_FV304_IGR,280,#920
uk-GB78_Sexton_I,250,#920
uk-GB79_FV206,430,#920
uk-GB80_Charioteer,1050,#920
uk-GB81_FV4004,1500,#920
uk-GB83_FV4005,1850,#920
uk-GB84_Chieftain_Mk6,2200,#920
uk-GB85_Cromwell_Berlin,840,#920
uk-GB86_Centurion_Action_X,1950,#920
uk-GB87_Chieftain_T95_turret,1400,#920
uk-GB88_T95_Chieftain_turret,2000,#920
uk-GB91_Super_Conqueror,2400,#920
uk-GB92_FV217,2100,#920
uk-GB93_Caernarvon_AX,1500,#920
uk-GB94_Centurion_Mk5-1_RAAC,1400,#920
uk-GB95_Ekins_Firefly_M4A4,840,#920
uk-GB96_Excalibur,840,#920
uk-GB97_Chimera,1400,#920
uk-GB98_T95_FV4201_Chieftain,2200,#920
uk-GB99_Turtle_Mk1,1400,#920
usa-A01_T1_Cunningham,245,#920
usa-A01_T1_Cunningham_bot,105,#920
usa-A02_M2_lt,320,#920
usa-A03_M3_Stuart,425,#920
usa-A03_M3_Stuart_bootcamp,405,#920
usa-A04_M3_Grant,475,#920
usa-A05_M4_Sherman,600,#920
usa-A05_M4_Sherman_IGR,460,#920
usa-A06_M4A3E8_Sherman,840,#920
usa-A06_M4A3E8_Sherman_training,830,#920
usa-A07_T20,1100,#920
usa-A08_T23,1310,#920
usa-A09_T1_hvy,860,#920
usa-A10_M6,970,#920
usa-A100_T49,1400,#920
usa-A101_M56,820,#920
usa-A102_T28_concept,880,#920
usa-A103_T71E1,840,#920
usa-A103_T71E1_IGR,840,#920
usa-A104_M4A3E8A,840,#920
usa-A106_M48A2_120,2000,#920
usa-A107_T1_HMC,160,#920
usa-A108_T18_HMC,195,#920
usa-A109_T56_GMC,285,#920
usa-A11_T29,1250,#920
usa-A11_T29_IGR,1250,#920
usa-A111_T25_Pilot,1450,#920
usa-A112_T71E2,840,#920
usa-A112_T71E2R,840,#920
usa-A115_Chrysler_K,1500,#920
usa-A115_Chrysler_K_GF,1500,#920
usa-A116_XM551,1600,#920
usa-A117_T26E5,1500,#920
usa-A117_T26E5_FL,1500,#920
usa-A117_T26E5_Patriot,1500,#920
usa-A118_M4_Thunderbolt,840,#920
usa-A12_T32,1550,#920
usa-A12_T32_FL,1550,#920
usa-A120_M48A5,2000,#920
usa-A120_M48A5_IGR,2000,#920
usa-A121_M26_Cologne,1200,#920
usa-A122_TS-5,1500,#920
usa-A123_T78,670,#920
usa-A124_T54E2,1500,#920
usa-A125_AEP_1,1800,#920
usa-A126_PzVI_Tiger_II_capt,1300,#920
usa-A127_TL_1_LPC,1400,#920
usa-A128_concept_1b,1800,#920
usa-A129_T6_medium,475,#920
usa-A129_T6_medium_MapsTraining_Dummy_MT_1,200,#920
usa-A13_T34_hvy,1500,#920
usa-A13_T34_hvy_BF,1500,#920
usa-A13_T34_hvy_FL,1500,#920
usa-A13_T34_hvy_IGR,1500,#920
usa-A130_Super_Hellcat,800,#920
usa-A132_T77,1450,#920
usa-A134_M24E2_SuperChaffee,660,#920
usa-A136_T42,1350,#920
usa-A14_T30,1650,#920
usa-A14_T30_FL,1650,#920
usa-A140_ASTRON_REX_105mm,1250,#920
usa-A15_T57,160,#920
usa-A16_M7_Priest,250,#920
usa-A17_M37,275,#920
usa-A18_M41,300,#920
usa-A19_T2_lt,300,#920
usa-A21_T14,900,#920
usa-A21_T14_MapsTraining_Player_HT_1,900,#920
usa-A22_M5_Stuart,520,#920
usa-A22_M5_Stuart_bootcamp,495,#920
usa-A23_M7_med,540,#920
usa-A24_T2_med,340,#920
usa-A24_T2_med_bot,155,#920
usa-A25_M2_med,375,#920
usa-A25_M2_med_bootcamp,355,#920
usa-A26_T18,240,#920
usa-A27_T82,200,#920
usa-A29_T40,420,#920
usa-A30_M10_Wolverine,470,#920
usa-A31_M36_Slagger,660,#920
usa-A32_M12,350,#920
usa-A33_MTLS-1G14,410,#920
usa-A34_M24_Chaffee,550,#920
usa-A35_Pershing,1440,#920
usa-A35_Pershing_IGR,1440,#920
usa-A36_Sherman_Jumbo,850,#920
usa-A36_Sherman_Jumbo_bootcamp,810,#920
usa-A36_Sherman_Jumbo_IGR,760,#920
usa-A37_M40M43,400,#920
usa-A38_T92,500,#920
usa-A39_T28,1500,#920
usa-A40_T95,1800,#920
usa-A41_M18_Hellcat,640,#920
usa-A43_M22_Locust,445,#920
usa-A44_M4A2E4,630,#920
usa-A45_M6A2E1,1550,#920
usa-A46_T3,220,#920
usa-A57_M8A1,405,#920
usa-A58_T67,470,#920
usa-A58_T67_IGR,360,#920
usa-A62_Ram-II,800,#920
usa-A63_M46_Patton,1700,#920
usa-A63_M46_Patton_FL,1700,#920
usa-A63_M46_Patton_KR,1450,#920
usa-A64_T25_AT,840,#920
usa-A66_M103,1850,#920
usa-A67_T57_58,2250,#920
usa-A68_T28_Prototype,1150,#920
usa-A69_T110E5,2200,#920
usa-A69_T110E5_bob,2200,#920
usa-A71_T21,670,#920
usa-A71_T21_MapsTraining_Dummy_LT_2,100,#920
usa-A72_T25_2,850,#920
usa-A72_T25_2_SH,1300,#920
usa-A74_T1_E6,320,#920
usa-A78_M4_Improved,630,#920
usa-A80_T26_E4_SuperPershing,1500,#920
usa-A80_T26_E4_SuperPershing_FL,1500,#920
usa-A81_T95_E2,1500,#920
usa-A83_T110E4,2000,#920
usa-A85_T110E3,2050,#920
usa-A86_T23E3,1050,#920
usa-A87_M44,315,#920
usa-A88_M53_55,450,#920
usa-A89_T54E1,1850,#920
usa-A90_T69,1350,#920
usa-A90_T69_IGR,1350,#920
usa-A92_M60,2000,#920
usa-A93_T7_Combat_Car,300,#920
usa-A94_T37,680,#920
