WOT-DATA,2
{{ID}},Forward,Reverse
{{EN}},Maximum forward speed.,Maximum reverse speed.
{{RU}},Максимальная скорость вперед.,Максимальная скорость назад.
france-F21_Lorraine39_L_AM,37,10,#950
france-F22_AMX_105AM,60,14,#950
france-F23_AMX_13F3AM,60,14,#950
france-F23_AMX_13F3AM_MapsTraining_Dummy_SPG_2,60,14,#950
france-F24_Lorraine155_50,60,14,#950
france-F25_Lorraine155_51,60,14,#950
france-F27_FCM_36Pak40,24,10,#950
france-F28_105_leFH18B2,28,10,#950
france-F28_105_leFH18B2_IGR,28,10,#950
france-F30_RenaultFT_AC,21,8,#950
france-F32_Somua_Sau_40,37,12,#950
france-F33_S_35CA,37,12,#950
france-F33_S_35CA_IGR,37,12,#950
france-F34_ARL_V39,42,12,#950
france-F35_AMX_AC_Mle1946,50,12,#950
france-F36_AMX_AC_Mle1948,50,13,#950
france-F36_AMX_AC_Mle1948_IGR,50,13,#950
france-F37_AMX50_Foch,50,13,#950
france-F38_Bat_Chatillon155_58,62,14,#950
france-F42_AMR_35,55,20,#950
france-F43_AMC_35_SH,49,20,#950
france-F44_Somua_S35,45,12,#950
france-F49_RenaultR35,23,12,#950
france-F50_FCM36_20t,24,12,#950
france-F52_RenaultUE57,36,12,#950
france-F62_ELC_AMX,60,20,#950
france-F62_ELC_AMX_IGR,60,20,#950
france-F64_AMX_50Fosh_155,50,13,#950
france-F64_AMX_50Fosh_B,50,13,#950
france-F65_FCM_50t,51,20,#950
france-F66_AMX_Ob_Am105,60,14,#950
france-F67_Bat_Chatillon155_55,"56,3",14,#950
france-F68_AMX_Chasseur_de_char_46,57,23,#950
france-F69_AMX13_57_100,61,23,#950
france-F69_AMX13_57_100_GrandFinal,61,23,#950
france-F70_SARL42,40,16,#950
france-F71_AMX_30_prototype,65,23,#950
france-F72_AMX_30,65,23,#950
france-F73_M4A1_Revalorise,40,16,#950
france-F73_M4A1_Revalorise_FL,40,16,#950
france-F74_AMX_M4_1949,40,15,#950
france-F74_AMX_M4_1949_FL,40,15,#950
france-F74_AMX_M4_1949_Liberte,40,15,#950
france-F75_Char_de_25t,65,20,#950
france-F81_Char_de_65t,40,15,#950
france-F82_AMX_M4_Mle1949_Ter,40,15,#950
france-F83_AMX_M4_Mle1949_Bis,40,15,#950
france-F83_AMX_M4_Mle1949_Bis_FL,40,15,#950
france-F84_Somua_SM,37,20,#950
france-F85_M4A1_FL10,48,20,#950
france-F87_Batignolles-Chatillon_12t,68,23,#950
france-F88_AMX_13_105,68,22,#950
france-F89_Canon_dassaut_de_105,55,18,#950
france-F97_ELC_EVEN_90,70,20,#950
france-F97_ELC_EVEN_90_FL,70,20,#950
germany-Env_Artillery,"0,000000999999997475243","0,000000999999997475243",#950
germany-G00_Bomber_SH,120,120,#950
germany-G02_Hummel,42,10,#950
germany-G03_PzV_Panther,55,20,#950
germany-G03_PzV_Panther_bootcamp,55,20,#950
germany-G03_PzV_Panther_IGR,55,20,#950
germany-G03_PzV_Panther_training,48,20,#950
germany-G04_PzVI_Tiger_I,40,12,#950
germany-G04_PzVI_Tiger_I_IGR,40,12,#950
germany-G04_PzVI_Tiger_I_MapsTraining_Player_HT_2,40,12,#950
germany-G04_PzVI_Tiger_IA,40,12,#950
germany-G05_StuG_40_AusfG,40,10,#950
germany-G05_StuG_40_AusfG_IGR,40,10,#950
germany-G06_PzII,40,15,#950
germany-G06_PzII_bot,40,15,#950
germany-G07_Pz35t,35,15,#950
germany-G08_Pz38t,42,18,#950
germany-G08_Pz38t_bootcamp,42,18,#950
germany-G09_Hetzer,42,11,#950
germany-G09_Hetzer_MapsTraining_Dummy_ATSPG_1,42,11,#950
germany-G10_PzIII_AusfJ,64,20,#950
germany-G10_PzIII_AusfJ_training,64,20,#950
germany-G100_Gtraktor_Krupp,44,12,#950
germany-G101_StuG_III,40,10,#950
germany-G102_Pz_III,68,20,#950
germany-G102_Pz_III_bootcamp,68,20,#950
germany-G103_RU_251,70,24,#950
germany-G104_Stug_IV,38,10,#950
germany-G105_T-55_NVA_DDR,50,20,#950
germany-G106_PzKpfwPanther_AusfF,46,20,#950
germany-G107_PzKpfwIII_AusfK,40,12,#950
germany-G108_PzKpfwII_AusfD,55,20,#950
germany-G109_Steyr_WT,35,15,#950
germany-G11_Bison_I,40,10,#950
germany-G110_Typ_205,20,15,#950
germany-G112_KanonenJagdPanzer,70,20,#950
germany-G112_KanonenJagdPanzer_105,70,20,#950
germany-G113_SP_I_C,58,22,#950
germany-G114_Rheinmetall_Skorpian,60,20,#950
germany-G114_Skorpian,60,20,#950
germany-G115_Typ_205_4_Jun,20,15,#950
germany-G115_Typ_205B,20,15,#950
germany-G116_Turan_III_prot,40,20,#950
germany-G117_Toldi_III,45,20,#950
germany-G117_Toldi_III_bootcamp,45,20,#950
germany-G118_VK4503,38,12,#950
germany-G119_Panzer58,50,20,#950
germany-G119_Panzer58_BF,50,20,#950
germany-G119_Panzer58_FL,50,20,#950
germany-G119_Pz58_Mutz,50,20,#950
germany-G12_Ltraktor,36,9,#950
germany-G12_Ltraktor_bot,36,9,#950
germany-G120_M41_90,"72,4",24,#950
germany-G120_M41_90_GrandFinal,"72,4",24,#950
germany-G121_Grille_15_L63,60,15,#950
germany-G122_VK6501H,30,15,#950
germany-G125_Spz_57_Rh,75,25,#950
germany-G126_HWK_12,65,23,#950
germany-G13_VK3001H,40,15,#950
germany-G134_PzKpfw_VII,33,15,#950
germany-G136_Tiger_131,40,12,#950
germany-G137_PzVI_Tiger_217,40,12,#950
germany-G138_VK168_02,20,15,#950
germany-G138_VK168_02_Mauerbrecher,20,15,#950
germany-G139_MKA,40,15,#950
germany-G140_HWK_30,70,24,#950
germany-G141_VK7501K,30,15,#950
germany-G142_M48RPz,40,18,#950
germany-G143_E75_TS,45,18,#950
germany-G144_Kpz_50t,60,20,#950
germany-G147_Kunze_Panzer,65,23,#950
germany-G15_VK3601H,"50,5",14,#950
germany-G151_Pz_Sfl_IC,54,20,#950
germany-G154_Kpz_07_RH,65,25,#950
germany-G158_VK2801_105_SPXXI,64,22,#950
germany-G16_PzVIB_Tiger_II,38,12,#950
germany-G16_PzVIB_Tiger_II_F,38,12,#950
germany-G16_PzVIB_Tiger_II_IGR,38,12,#950
germany-G16_PzVIB_Tiger_II_training,28,12,#950
germany-G17_JagdPzIV,40,12,#950
germany-G18_JagdPanther,55,12,#950
germany-G19_Wespe,40,10,#950
germany-G20_Marder_II,40,12,#950
germany-G21_PanzerJager_I,40,8,#950
germany-G21_PanzerJager_I_bootcamp,40,8,#950
germany-G22_Sturmpanzer_II,45,10,#950
germany-G23_Grille,42,10,#950
germany-G24_VK3002DB,60,20,#950
germany-G24_VK3002DB_SH,40,15,#950
germany-G25_PzII_Luchs,60,22,#950
germany-G26_VK1602,60,22,#950
germany-G27_VK3001P,45,12,#950
germany-G28_PzIII_IV,55,18,#950
germany-G32_PzV_PzIV,55,20,#950
germany-G32_PzV_PzIV_ausf_Alfa,55,20,#950
germany-G32_PzV_PzIV_ausf_Alfa_CN,55,20,#950
germany-G32_PzV_PzIV_CN,55,20,#950
germany-G33_H39_captured,37,16,#950
germany-G34_S35_captured,37,12,#950
germany-G35_B-1bis_captured,30,10,#950
germany-G36_PzII_J,31,12,#950
germany-G37_Ferdinand,30,10,#950
germany-G37_Ferdinand_FL,30,10,#950
germany-G37_Ferdinand_IGR,30,10,#950
germany-G39_Marder_III,47,18,#950
germany-G40_Nashorn,40,15,#950
germany-G40_Nashorn_MapsTraining_Dummy_ATSPG_2,40,15,#950
germany-G41_DickerMax,40,12,#950
germany-G42_Maus,20,15,#950
germany-G42_Maus_IGR,20,15,#950
germany-G43_Sturer_Emil,25,12,#950
germany-G44_JagdTiger,38,12,#950
germany-G44_JagdTiger_FL,38,12,#950
germany-G44_JagdTigerH,38,12,#950
germany-G45_G_Tiger,45,10,#950
germany-G46_T-25,60,20,#950
germany-G48_E-25,65,20,#950
germany-G48_E-25_IGR,65,20,#950
germany-G49_G_Panther,46,12,#950
germany-G50_T-15,60,20,#950
germany-G51_Lowe,35,15,#950
germany-G51_Lowe_FL,35,15,#950
germany-G52_Pz38_NA,64,20,#950
germany-G53_PzI,40,15,#950
germany-G54_E-50,60,20,#950
germany-G54_E-50_FL,60,20,#950
germany-G55_E-75,40,15,#950
germany-G56_E-100,30,15,#950
germany-G57_PzVI_Tiger_P,35,12,#950
germany-G58_VK4502P,30,15,#950
germany-G58_VK4502P7,35,15,#950
germany-G61_G_E,40,10,#950
germany-G63_PzI_ausf_C,79,22,#950
germany-G64_Panther_II,55,20,#950
germany-G64_Panther_II_IGR,55,20,#950
germany-G65_JagdTiger_SdKfz_185,38,16,#950
germany-G65_JagdTiger_SdKfz_185_IGR,38,12,#950
germany-G66_VK2801,64,22,#950
germany-G67_VK4502A,38,16,#950
germany-G70_PzIV_Hydro,48,20,#950
germany-G71_JagdPantherII,55,12,#950
germany-G72_JagdPz_E100,30,12,#950
germany-G73_E50_Ausf_M,60,20,#950
germany-G76_Pz_Sfl_IVc,60,20,#950
germany-G77_PzIV_Schmalturm,48,18,#950
germany-G78_Panther_M10,55,20,#950
germany-G79_Pz_IV_AusfGH,48,18,#950
germany-G80_Pz_IV_AusfD,42,18,#950
germany-G80_Pz_IV_AusfD_bootcamp,42,18,#950
germany-G81_Pz_IV_AusfH,40,18,#950
germany-G81_Pz_IV_AusfH_GuP,40,18,#950
germany-G82_Pz_II_AusfG,65,20,#950
germany-G83_Pz_IV_AusfA,42,18,#950
germany-G85_Auf_Panther,55,22,#950
germany-G85_Aufklarungspanzer_V,60,22,#950
germany-G86_VK2001DB,50,20,#950
germany-G87_VK3002DB_V1,60,20,#950
germany-G88_Indien_Panzer,55,20,#950
germany-G89_Leopard1,70,23,#950
germany-G89_Leopard1_bob,70,23,#950
germany-G90_DW_II,35,12,#950
germany-G90_DW_II_MapsTraining_Dummy_HT_1,35,12,#950
germany-G91_Pro_Ag_A,65,20,#950
germany-G92_VK7201,33,15,#950
germany-G93_GW_Mk_VIe,50,12,#950
germany-G94_GW_Tiger_P,35,10,#950
germany-G95_Pz_Sfl_IVb,35,10,#950
germany-G96_VK3002M,55,20,#950
germany-G97_Waffentrager_IV,38,12,#950
germany-G98_Waffentrager_E100,40,15,#950
germany-G98_Waffentrager_E100_P,40,15,#950
germany-G99_RhB_Waffentrager,35,12,#950
italy-It03_M15_42,40,15,#950
italy-It04_Fiat_3000,21,8,#950
italy-It05_Carro_L6_40,"42,3",15,#950
italy-It06_M14_41,32,12,#950
italy-It07_P26_40,40,15,#950
italy-It08_Progetto_M40_mod_65,65,23,#950
italy-It08_Progetto_M40_mod_65_bob,65,23,#950
italy-It09_P43_ter,55,20,#950
italy-It10_P43_bis,50,20,#950
italy-It11_P43,42,18,#950
italy-It12_Prototipo_Standard_B,65,23,#950
italy-It13_Progetto_M35_mod_46,55,20,#950
italy-It14_P44_Pantera,60,20,#950
italy-It15_Rinoceronte,40,12,#950
italy-It16_Carro_d_assalto_P88,35,12,#950
italy-It17_Progetto_CC55_mod_54,45,12,#950
italy-It18_Progetto_C45_mod_71,50,15,#950
italy-It19_Progetto_C50_mod_66,45,12,#950
italy-It20_Carro_Combattimento_45t,55,23,#950
japan-J01_NC27,23,8,#950
japan-J01_NC27_bot,23,8,#950
japan-J02_Te_Ke,42,15,#950
japan-J03_Ha_Go,40,15,#950
japan-J04_Ke_Ni,50,20,#950
japan-J04_Ke_Ni_bootcamp,50,20,#950
japan-J05_Ke_Ni_B,50,20,#950
japan-J06_Ke_Ho,50,22,#950
japan-J07_Chi_Ha,45,18,#950
japan-J08_Chi_Nu,"38,8",16,#950
japan-J09_Chi_He,44,20,#950
japan-J10_Chi_To,45,18,#950
japan-J11_Chi_Ri,42,18,#950
japan-J11_Chi_Ri_IGR,42,18,#950
japan-J12_Chi_Nu_Kai,"38,8",16,#950
japan-J13_STA_1,45,20,#950
japan-J13_STA_1_IGR,45,20,#950
japan-J14_Type_61,45,23,#950
japan-J15_Chi_Ni,30,12,#950
japan-J16_ST_B1,50,25,#950
japan-J16_ST_B1_IGR,53,20,#950
japan-J18_STA_2_3,55,23,#950
japan-J19_Tiger_I_Jpn,40,12,#950
japan-J20_Type_2605,25,15,#950
japan-J21_Type_91,25,13,#950
japan-J22_Type_95,22,10,#950
japan-J22_Type_95_bootcamp,22,10,#950
japan-J23_Mi_To,25,12,#950
japan-J24_Mi_To_130_tons,"29,4",10,#950
japan-J25_Type_4,25,10,#950
japan-J26_Type_89,25,12,#950
japan-J27_O_I_120,25,10,#950
japan-J28_O_I_100,25,10,#950
japan-J29_Nameless,50,14,#950
japan-J30_Edelweiss,60,20,#950
poland-Pl01_TKS_20mm,45,12,#950
poland-Pl03_PzV_Poland,55,20,#950
poland-Pl05_50TP_Tyszkiewicza,35,14,#950
poland-Pl06_10TP,50,20,#950
poland-Pl07_14TP,50,20,#950
poland-Pl08_50TP_prototyp,35,14,#950
poland-Pl09_7TP,35,18,#950
poland-Pl10_40TP_Habicha,50,18,#950
poland-Pl11_45TP_Habicha,35,14,#950
poland-Pl12_25TP_KSUST_II,56,20,#950
poland-Pl13_53TP_Markowskiego,40,16,#950
poland-Pl14_4TP,35,12,#950
poland-Pl15_60TP_Lewandowskiego,35,14,#950
poland-Pl16_T34_85_Rudy,54,20,#950
poland-Pl17_DS_PZlnz,56,15,#950
poland-Pl18_BUGI,55,11,#950
poland-Pl19_CS_52_LIS,50,20,#950
poland-Pl20_CS_44,57,15,#950
poland-Pl21_CS_63,55,15,#950
poland-Pl22_CS_59,50,18,#950
poland-Pl23_CS_53,50,17,#950
sweden-S01_Strv_74_A2,45,20,#950
sweden-S02_Strv_M42,45,20,#950
sweden-S03_Strv_M38,45,18,#950
sweden-S04_Lago_I,45,18,#950
sweden-S05_Strv_M21_29,25,14,#950
sweden-S06_Ikv_90_Typ_B_Bofors,65,20,#950
sweden-S07_Strv_74,45,18,#950
sweden-S08_Ikv_65_Alt_2,60,20,#950
sweden-S09_L_120_TD,50,20,#950
sweden-S10_Strv_103_0_Series,50,45,#950
sweden-S10_Strv_103_0_Series_FL,50,45,#950
sweden-S11_Strv_103B,50,45,#950
sweden-S12_Strv_M40,45,18,#950
sweden-S13_Leo,60,20,#950
sweden-S14_Ikv_103,60,20,#950
sweden-S15_L_60,48,20,#950
sweden-S16_Kranvagn,60,18,#950
sweden-S16_Kranvagn_bob,60,18,#950
sweden-S17_EMIL_1952_E2,56,18,#950
sweden-S18_EMIL_1951_E1,50,16,#950
sweden-S19_Sav_M43,43,20,#950
sweden-S20_Ikv_72,57,20,#950
sweden-S21_UDES_03,70,50,#950
sweden-S22_Strv_S1,50,45,#950
sweden-S22_Strv_S1_FL,50,45,#950
sweden-S23_Strv_81,50,20,#950
sweden-S23_Strv_81_sabaton,50,20,#950
sweden-S25_EMIL_51,45,16,#950
sweden-S26_Lansen_C,50,20,#950
sweden-S27_UDES_16,50,20,#950
sweden-S28_UDES_15_16,50,24,#950
sweden-S29_UDES_14_5,55,20,#950
sweden-S30_UDES_03_Alt_3,50,20,#950
sweden-S31_Strv_K,40,18,#950
uk-GB01_Medium_Mark_I,24,8,#950
uk-GB01_Medium_Mark_I_bot,24,8,#950
uk-GB03_Cruiser_Mk_I,35,12,#950
uk-GB04_Valentine,24,10,#950
uk-GB05_Vickers_Medium_Mk_II,40,12,#950
uk-GB05_Vickers_Medium_Mk_II_bot,40,12,#950
uk-GB06_Vickers_Medium_Mk_III,48,16,#950
uk-GB07_Matilda,24,11,#950
uk-GB08_Churchill_I,"25,7",14,#950
uk-GB08_Churchill_I_IGR,"25,7",14,#950
uk-GB09_Churchill_VII,20,12,#950
uk-GB10_Black_Prince,20,12,#950
uk-GB100_Manticore,68,25,#950
uk-GB101_FV1066_Senlac,65,23,#950
uk-GB102_LHMTV,63,23,#950
uk-GB103_GSOR3301_AVR_FS,65,25,#950
uk-GB104_GSR_3301_Setter,58,22,#950
uk-GB105_Black_Prince_2019,20,12,#950
uk-GB106_Cobra,5,5,#950
uk-GB107_Cavalier,46,18,#950
uk-GB107_Cavalier_SH,64,20,#950
uk-GB108_A46,60,20,#950
uk-GB109_GSOR_1008,60,17,#950
uk-GB11_Caernarvon,"34,3",12,#950
uk-GB11_Caernarvon_IGR,"34,3",12,#950
uk-GB111_Charlemagne,35,15,#950
uk-GB12_Conqueror,"34,3",12,#950
uk-GB12_Conqueror_FL,"34,3",12,#950
uk-GB13_FV215b,"34,3",12,#950
uk-GB13_FV215b_IGR,"34,3",12,#950
uk-GB14_M2,58,17,#950
uk-GB15_Stuart_I,58,20,#950
uk-GB17_Grant_I,39,16,#950
uk-GB19_Sherman_Firefly,36,18,#950
uk-GB19_Sherman_Firefly_MapsTraining_Dummy_MT_2,36,18,#950
uk-GB20_Crusader,58,22,#950
uk-GB21_Cromwell,64,20,#950
uk-GB21_Cromwell_IGR,64,20,#950
uk-GB22_Comet,"51,5",18,#950
uk-GB23_Centurion,50,20,#950
uk-GB23_Centurion_IGR,50,20,#950
uk-GB24_Centurion_Mk3,50,20,#950
uk-GB25_Loyd_Gun_Carriage,48,12,#950
uk-GB26_Birch_Gun,45,10,#950
uk-GB27_Sexton,"40,2",10,#950
uk-GB28_Bishop,24,10,#950
uk-GB29_Crusader_5inch,14,"43,5",#950
uk-GB30_FV3805,40,12,#950
uk-GB31_Conqueror_Gun,"34,3",10,#950
uk-GB32_Tortoise,20,10,#950
uk-GB33_Sentinel_AC_I,"60,4",20,#950
uk-GB35_Sentinel_AC_IV,"60,4",20,#950
uk-GB37_Valliant,19,10,#950
uk-GB39_Universal_CarrierQF2,48,8,#950
uk-GB40_Gun_Carrier_Churchill,"25,7",12,#950
uk-GB41_Challenger,52,20,#950
uk-GB42_Valentine_AT,24,12,#950
uk-GB44_Archer,12,32,#950
uk-GB45_Achilles_IIC,48,13,#950
uk-GB48_FV215b_183,"34,3",12,#950
uk-GB50_Sherman_III,48,18,#950
uk-GB51_Excelsior,"38,6",12,#950
uk-GB52_A45,31,16,#950
uk-GB57_Alecto,"50,5",16,#950
uk-GB58_Cruiser_Mk_III,48,20,#950
uk-GB59_Cruiser_Mk_IV,48,20,#950
uk-GB60_Covenanter,55,22,#950
uk-GB63_TOG_II,14,7,#950
uk-GB68_Matilda_Black_Prince,22,10,#950
uk-GB69_Cruiser_Mk_II,40,15,#950
uk-GB70_FV4202_105,40,20,#950
uk-GB70_N_FV4202_105,50,20,#950
uk-GB70_N_FV4202_105_FL,50,20,#950
uk-GB71_AT_15A,20,10,#950
uk-GB72_AT15,20,10,#950
uk-GB72_AT15_IGR,20,10,#950
uk-GB73_AT2,20,10,#950
uk-GB74_AT8,20,10,#950
uk-GB75_AT7,20,10,#950
uk-GB76_Mk_VIC,"52,5",20,#950
uk-GB77_FV304,"72,4",14,#950
uk-GB77_FV304_IGR,"72,4",14,#950
uk-GB78_Sexton_I,"40,2",10,#950
uk-GB79_FV206,29,10,#950
uk-GB80_Charioteer,52,20,#950
uk-GB81_FV4004,40,15,#950
uk-GB83_FV4005,32,8,#950
uk-GB84_Chieftain_Mk6,42,15,#950
uk-GB85_Cromwell_Berlin,64,20,#950
uk-GB86_Centurion_Action_X,53,20,#950
uk-GB87_Chieftain_T95_turret,42,15,#950
uk-GB88_T95_Chieftain_turret,56,17,#950
uk-GB91_Super_Conqueror,"34,3",12,#950
uk-GB92_FV217,30,12,#950
uk-GB93_Caernarvon_AX,"36,3",12,#950
uk-GB94_Centurion_Mk5-1_RAAC,50,20,#950
uk-GB95_Ekins_Firefly_M4A4,"40,2",18,#950
uk-GB96_Excalibur,50,15,#950
uk-GB97_Chimera,50,20,#950
uk-GB98_T95_FV4201_Chieftain,46,15,#950
uk-GB99_Turtle_Mk1,20,10,#950
usa-A01_T1_Cunningham,41,10,#950
usa-A01_T1_Cunningham_bot,41,10,#950
usa-A02_M2_lt,58,20,#950
usa-A03_M3_Stuart,61,20,#950
usa-A03_M3_Stuart_bootcamp,61,20,#950
usa-A04_M3_Grant,38,16,#950
usa-A05_M4_Sherman,48,18,#950
usa-A05_M4_Sherman_IGR,48,18,#950
usa-A06_M4A3E8_Sherman,48,18,#950
usa-A06_M4A3E8_Sherman_training,32,7,#950
usa-A07_T20,56,20,#950
usa-A08_T23,56,20,#950
usa-A09_T1_hvy,"35,4",10,#950
usa-A10_M6,35,10,#950
usa-A100_T49,65,24,#950
usa-A101_M56,45,17,#950
usa-A102_T28_concept,29,10,#950
usa-A103_T71E1,64,23,#950
usa-A103_T71E1_IGR,64,23,#950
usa-A104_M4A3E8A,"41,8",18,#950
usa-A106_M48A2_120,"48,3",20,#950
usa-A107_T1_HMC,34,12,#950
usa-A108_T18_HMC,48,6,#950
usa-A109_T56_GMC,50,14,#950
usa-A11_T29,35,12,#950
usa-A11_T29_IGR,35,12,#950
usa-A111_T25_Pilot,55,20,#950
usa-A112_T71E2,64,25,#950
usa-A112_T71E2R,64,25,#950
usa-A115_Chrysler_K,35,14,#950
usa-A115_Chrysler_K_GF,35,14,#950
usa-A116_XM551,65,22,#950
usa-A117_T26E5,"40,2",15,#950
usa-A117_T26E5_FL,"40,2",15,#950
usa-A117_T26E5_Patriot,"40,2",15,#950
usa-A118_M4_Thunderbolt,42,18,#950
usa-A12_T32,35,14,#950
usa-A12_T32_FL,35,14,#950
usa-A120_M48A5,45,20,#950
usa-A120_M48A5_IGR,45,20,#950
usa-A121_M26_Cologne,48,20,#950
usa-A122_TS-5,26,12,#950
usa-A123_T78,55,14,#950
usa-A124_T54E2,45,17,#950
usa-A125_AEP_1,35,12,#950
usa-A126_PzVI_Tiger_II_capt,38,12,#950
usa-A127_TL_1_LPC,50,20,#950
usa-A128_concept_1b,45,18,#950
usa-A129_T6_medium,34,14,#950
usa-A129_T6_medium_MapsTraining_Dummy_MT_1,34,14,#950
usa-A13_T34_hvy,35,12,#950
usa-A13_T34_hvy_BF,35,12,#950
usa-A13_T34_hvy_FL,35,12,#950
usa-A13_T34_hvy_IGR,35,12,#950
usa-A130_Super_Hellcat,72,20,#950
usa-A132_T77,48,12,#950
usa-A134_M24E2_SuperChaffee,56,21,#950
usa-A136_T42,"51,5",20,#950
usa-A14_T30,35,10,#950
usa-A14_T30_FL,35,10,#950
usa-A140_ASTRON_REX_105mm,52,30,#950
usa-A15_T57,"49,9",12,#950
usa-A16_M7_Priest,"38,6",10,#950
usa-A17_M37,"56,3",14,#950
usa-A18_M41,"56,3",14,#950
usa-A19_T2_lt,72,20,#950
usa-A21_T14,34,10,#950
usa-A21_T14_MapsTraining_Player_HT_1,34,10,#950
